43000001,7.50,7.25,,,6.83,5.75,5.00,6.25,,6.00,
43000002,,,8.75,7.92,,,3.20,6.50,7.75,7.60,7.25
43000003,,,7.50,7.25,,,5.60,7.50,7.25,8.20,7.00
43000004,,,7.00,6.67,,,6.60,7.50,7.25,6.80,5.75
43000005,5.25,7.25,,,6.00,5.50,2.40,5.75,,6.60,
43000006,6.00,7.75,,,6.08,4.50,4.20,5.50,,4.40,
43000007,,,5.75,5.42,,,6.40,6.75,5.50,6.80,5.00
43000008,,,3.00,4.75,,,5.40,5.75,6.25,6.60,5.00
43000009,7.25,8.75,,,7.75,7.25,4.20,5.75,,6.60,
43000010,,,8.25,6.67,,,4.60,6.50,6.00,7.00,5.75
43000011,,,8.00,7.00,,,5.20,4.50,8.00,7.60,5.00
43000012,,,4.25,5.67,,,6.60,7.00,6.25,8.60,6.50
43000013,,,6.00,6.75,,,7.20,6.75,6.25,9.00,8.00
43000014,6.75,7.50,,,5.92,3.50,3.40,5.00,,4.60,
43000015,,,5.25,6.25,,,6.00,6.00,6.00,9.00,7.50
43000016,,,6.25,6.00,,,3.20,6.25,5.25,7.60,6.50
43000017,,,5.50,6.25,,,5.40,6.25,6.50,6.80,6.75
43000018,7.50,8.75,,,6.92,4.50,4.80,7.00,,7.20,
43000019,6.75,7.75,,,6.58,5.25,3.60,7.00,,6.60,
43000020,6.25,8.25,,,6.75,5.75,6.40,6.00,,7.40,
43000021,,,6.50,6.08,,,4.20,7.00,5.00,7.20,6.75
43000022,7.50,9.75,,,8.33,7.75,5.00,8.00,,9.00,
43000023,,,8.50,7.50,,,6.00,6.50,7.00,8.00,7.00
43000024,6.75,7.25,,,6.33,5.00,3.00,6.50,,6.00,
43000025,,,4.75,6.42,,,4.80,6.00,7.75,7.40,6.75
43000026,6.75,9.50,,,7.42,6.00,2.20,6.50,,5.80,
43000027,,,2.00,4.00,,,2.20,6.50,6.50,7.40,3.50
43000028,,,6.50,7.42,,,9.40,4.75,7.75,9.00,8.00
43000029,6.50,8.00,,,6.50,5.00,5.00,6.75,,7.80,
43000030,,,3.75,4.92,,,8.40,7.00,4.50,8.20,6.50
43000031,,,3.75,5.00,,,3.80,6.75,5.50,6.00,5.75
43000032,7.25,8.50,,,6.83,4.75,7.00,7.50,,7.60,
43000033,,,6.50,5.75,,,3.40,7.25,6.50,7.00,4.25
43000034,6.25,8.25,,,6.67,5.50,4.40,6.50,,7.20,
43000035,,,6.75,7.33,,,4.00,7.00,7.00,8.20,8.25
43000036,,,7.50,6.33,,,5.00,5.50,4.75,8.00,6.75
43000037,8.50,9.00,,,8.83,9.00,5.00,7.25,,7.80,
43000038,8.50,9.75,,,8.58,7.50,5.00,7.25,,6.60,
43000039,8.25,9.25,,,8.67,8.50,6.00,7.00,,7.20,
43000040,,,4.25,4.92,,,5.40,6.50,6.25,7.60,4.25
43000041,,,8.25,7.00,,,5.80,5.00,7.50,8.00,5.25
43000042,7.00,8.25,,,7.58,7.50,4.80,6.75,,7.00,
43000043,5.75,8.25,,,6.08,4.25,4.40,5.00,,4.60,
43000044,,,5.00,5.83,,,3.80,3.50,5.25,7.40,7.25
43000045,6.00,8.75,,,6.25,4.00,4.00,5.50,,6.20,
43000046,,,2.50,4.42,,,5.20,6.25,5.25,6.80,5.50
43000047,5.25,6.00,,,5.17,4.25,4.00,5.25,,5.20,
43000048,7.25,6.75,,,6.17,4.50,3.80,4.25,,3.80,
43000049,7.75,8.50,,,7.67,6.75,3.80,6.50,,6.80,
43000050,7.00,8.75,,,7.67,7.25,4.20,6.00,,5.00,
43000051,,,8.00,6.83,,,3.60,6.00,5.25,8.40,7.25
43000052,8.75,9.50,,,8.83,8.25,5.60,7.00,,7.80,
43000053,,,4.50,5.08,,,4.60,6.25,5.75,8.00,5.00
43000054,6.75,8.75,,,7.17,6.00,2.80,6.75,,7.20,
43000055,6.00,8.25,,,6.75,6.00,4.00,6.00,,6.20,
43000056,,,4.50,5.00,,,8.60,7.50,5.50,8.20,5.00
43000057,6.25,7.75,,,6.25,4.75,4.80,5.00,,5.60,
43000058,,,2.75,5.92,,,5.60,6.00,7.50,7.00,7.50
43000059,7.50,8.00,,,6.83,5.00,4.00,5.50,,6.80,
43000060,8.00,9.00,,,8.00,7.00,6.40,6.50,,6.60,
43000061,,,4.75,5.33,,,4.40,5.50,5.75,8.60,5.50
43000062,,,4.75,5.67,,,5.80,6.75,6.25,7.40,6.00
43000063,,,6.75,6.50,,,6.00,5.50,5.00,8.00,7.75
43000064,,,6.00,6.67,,,6.80,4.50,5.75,8.60,8.25
43000065,6.50,8.25,,,6.00,3.25,3.80,7.00,,7.80,
43000066,,,6.50,6.17,,,6.40,6.50,5.25,8.20,6.75
43000067,,,4.00,4.50,,,2.00,6.75,4.75,5.00,4.75
43000068,,,5.25,6.50,,,3.80,7.00,7.00,8.00,7.25
43000069,,,5.00,6.42,,,4.40,7.25,7.00,7.60,7.25
43000070,,,8.75,7.75,,,6.20,6.75,6.25,7.80,8.25
43000071,,,6.50,5.42,,,4.20,4.50,3.00,6.20,6.75
43000072,,,6.50,7.00,,,5.40,6.00,6.25,8.60,8.25
43000073,5.75,7.25,,,5.83,4.50,3.20,4.75,,4.80,
43000074,,,6.25,6.50,,,5.20,7.25,6.00,7.60,7.25
43000075,,,7.00,6.33,,,3.80,7.00,6.75,7.40,5.25
43000076,,,6.25,6.08,,,5.40,5.75,6.75,8.00,5.25
43000077,,,7.00,7.25,,,6.40,7.75,6.75,8.60,8.00
43000078,,,5.00,5.58,,,4.20,7.50,5.75,7.80,6.00
43000079,,,7.00,7.25,,,5.20,5.75,7.00,9.20,7.75
43000080,,,6.75,6.83,,,4.80,6.50,5.75,8.00,8.00
43000081,7.50,8.25,,,7.17,5.75,4.80,5.75,,7.00,
43000082,,,3.50,5.42,,,4.80,7.00,6.75,6.20,6.00
43000083,8.75,9.25,,,9.08,9.25,4.60,6.50,,5.00,
43000084,,,7.75,6.67,,,4.40,6.00,5.50,8.00,6.75
43000085,,,7.00,7.08,,,3.60,7.25,6.25,7.60,8.00
43000086,8.50,8.25,,,7.17,4.75,3.60,5.75,,6.20,
43000087,,,5.75,5.58,,,5.00,7.50,4.25,6.20,6.75
43000088,,,4.75,6.25,,,5.80,6.50,6.75,6.60,7.25
43000089,,,8.50,8.17,,,6.80,5.50,8.75,9.00,7.25
43000090,,,6.50,6.08,,,5.00,7.50,4.75,6.80,7.00
43000091,,,6.75,6.92,,,3.20,5.75,6.00,8.60,8.00
43000092,9.25,9.25,,,8.67,7.50,3.80,5.75,,4.40,
43000093,,,6.00,6.00,,,4.00,6.00,4.75,8.40,7.25
43000094,7.25,9.00,,,7.00,4.75,4.80,5.75,,6.00,
43000095,8.00,9.75,,,8.50,7.75,3.00,6.25,,7.80,
43000096,6.50,7.00,,,6.08,4.75,2.80,5.25,,6.20,
43000097,6.50,8.75,,,7.17,6.25,3.20,6.75,,6.40,
43000098,7.75,8.25,,,7.17,5.50,3.80,6.75,,7.00,
43000099,,,7.75,7.92,,,7.80,6.25,7.00,8.80,9.00
43000100,7.25,9.00,,,6.92,4.50,4.40,6.00,,5.80,
43000101,6.50,9.00,,,6.42,3.75,3.40,5.50,,4.40,
43000102,6.75,9.25,,,7.92,7.75,5.20,6.25,,6.40,
43000103,,,6.50,6.42,,,7.20,6.75,5.50,7.60,7.25
43000104,8.25,9.50,,,7.92,6.00,5.80,8.50,,7.00,
43000105,,,7.75,6.92,,,6.20,4.50,7.25,8.20,5.75
43000106,6.50,9.00,,,7.33,6.50,3.60,6.50,,8.20,
43000107,,,6.50,6.83,,,4.80,6.50,6.50,7.20,7.50
43000108,9.25,9.00,,,9.08,9.00,6.80,7.50,,8.60,
43000109,7.00,9.25,,,7.08,5.00,2.80,7.25,,7.60,
43000110,7.00,8.25,,,7.33,6.75,4.60,6.50,,5.60,
43000111,,,5.50,5.92,,,4.60,7.00,6.50,7.40,5.75
43000112,8.00,7.75,,,7.33,6.25,4.80,7.75,,6.80,
43000113,7.25,9.50,,,8.25,8.00,6.80,8.50,,8.40,
43000114,,,4.75,5.33,,,5.80,6.75,6.50,8.60,4.75
43000115,,,5.75,4.58,,,5.40,7.50,5.25,8.00,2.75
43000116,7.75,9.25,,,7.92,6.75,3.60,6.75,,7.60,
43000117,,,5.25,6.58,,,4.20,6.75,7.00,7.80,7.50
43000118,8.50,8.75,,,7.92,6.50,7.40,8.00,,8.20,
43000119,7.00,8.50,,,7.25,6.25,2.60,7.00,,7.60,
43000120,,,4.50,5.67,,,4.20,6.75,5.75,7.80,6.75
43000121,8.50,8.75,,,8.58,8.50,5.40,6.75,,8.60,
43000122,7.50,9.00,,,7.33,5.50,7.00,8.25,,8.20,
43000123,7.00,7.50,,,6.58,5.25,3.60,5.25,,5.00,
43000124,6.25,7.75,,,5.92,3.75,4.00,6.75,,6.40,
43000125,6.25,8.25,,,6.42,4.75,4.40,6.25,,6.80,
43000126,7.50,8.25,,,7.67,7.25,5.80,7.50,,6.40,
