02000001,7.00,7.25,,,6.67,5.75,5.20,6.25,,6.60,
02000002,7.25,8.50,,,7.58,7.00,7.00,7.75,,8.20,
02000003,7.75,8.25,,,6.92,4.75,6.00,6.75,,6.80,
02000004,,,6.25,6.25,,,5.60,6.25,7.00,7.80,5.50
02000005,,,6.25,6.17,,,8.20,6.50,5.50,6.40,6.75
02000006,7.50,8.50,,,7.58,6.75,8.00,7.50,,6.80,
02000007,,,7.25,6.67,,,6.40,8.25,5.25,8.40,7.50
02000008,,,4.50,4.33,,,4.40,7.00,3.50,6.80,5.00
02000009,8.25,8.75,,,7.92,6.75,8.40,8.00,,7.20,
02000010,,,7.00,6.33,,,6.40,7.75,4.00,8.40,8.00
02000011,6.50,8.50,,,7.08,6.25,5.20,7.75,,6.40,
02000012,8.00,9.25,,,8.17,7.25,8.20,5.25,,8.00,
02000013,,,7.75,7.08,,,5.80,5.75,5.75,8.40,7.75
02000014,7.25,7.75,,,7.67,8.00,9.20,7.50,,8.40,
02000015,,,6.75,6.08,,,8.60,6.75,5.25,8.20,6.25
02000016,,,6.75,6.17,,,7.20,6.75,5.50,8.60,6.25
02000017,,,7.25,7.42,,,8.80,6.75,7.75,8.60,7.25
02000018,6.50,7.50,,,5.92,3.75,8.00,6.50,,8.00,
02000019,,,8.25,7.33,,,7.20,4.50,7.75,8.20,6.00
02000020,,,5.25,5.75,,,7.40,6.25,5.25,8.40,6.75
02000021,,,8.50,6.67,,,7.00,6.25,5.50,7.40,6.00
02000022,,,4.00,5.92,,,6.40,6.00,5.75,8.80,8.00
02000023,,,6.00,5.58,,,4.80,6.50,5.00,7.40,5.75
02000024,,,3.25,5.75,,,5.40,8.00,6.25,7.20,7.75
02000025,7.25,7.50,,,6.83,5.75,8.40,8.00,,8.40,
02000026,7.00,7.50,,,6.92,6.25,6.60,7.00,,8.20,
02000027,,,8.50,6.58,,,6.40,7.00,5.00,7.60,6.25
02000028,,,7.25,6.00,,,6.60,7.00,5.25,7.60,5.50
02000029,,,8.25,7.67,,,7.00,5.25,7.50,7.80,7.25
02000030,,,8.50,7.92,,,,7.50,7.50,8.20,7.75
02000031,5.00,8.25,,,6.17,5.25,6.80,7.50,,7.80,
02000032,7.75,8.00,,,6.92,5.00,7.60,8.00,,7.80,
02000033,7.00,8.00,,,7.33,7.00,7.00,7.25,,8.40,
02000034,,,7.25,5.92,,,,6.50,3.00,7.80,7.50
02000035,7.00,7.25,,,6.08,4.00,5.00,5.50,,6.80,
02000036,,,7.25,7.17,,,7.40,6.00,6.75,7.60,7.50
02000037,5.50,7.75,,,6.08,5.00,5.00,5.50,,7.20,
02000038,7.50,7.50,,,7.42,7.25,6.80,7.00,,7.80,
02000039,6.50,7.75,,,6.08,4.00,5.20,7.00,,7.20,
02000040,,,7.25,6.75,,,5.20,6.75,4.75,8.20,8.25
02000041,,,7.00,6.67,,,7.40,6.75,5.75,6.80,7.25
02000042,,,4.75,5.00,,,8.20,7.00,3.00,8.20,7.25
02000043,,,7.00,5.83,,,6.80,7.25,3.25,7.40,7.25
02000044,,,6.75,5.75,,,5.40,6.50,5.75,8.20,4.75
02000045,,,4.50,5.25,,,8.00,6.25,4.75,7.60,6.50
02000046,,,6.00,5.67,,,4.20,6.75,4.50,8.20,6.50
02000047,,,6.25,6.33,,,6.00,6.75,5.25,8.60,7.50
02000048,4.75,6.75,,,5.33,4.50,6.20,7.00,,6.60,
02000049,6.75,9.25,,,7.42,6.25,6.20,8.25,,7.80,
02000050,,,6.00,5.67,,,7.40,7.75,2.75,8.00,8.25
02000051,6.00,7.00,,,5.58,3.75,7.40,7.25,,7.60,
02000052,,,6.50,6.75,,,8.80,7.25,5.75,8.60,8.00
02000053,7.25,9.50,,,7.83,6.75,8.40,6.75,,6.80,
02000054,,,6.00,6.75,,,7.00,6.50,6.25,9.20,8.00
02000055,,,7.50,6.33,,,8.60,7.25,4.75,8.80,6.75
02000056,,,6.25,6.33,,,6.60,7.25,4.75,8.60,8.00
02000057,6.00,8.00,,,6.83,6.50,6.20,6.50,,7.00,
02000058,,,7.50,6.50,,,6.00,6.75,3.75,8.20,8.25
02000059,7.00,9.00,,,7.92,7.75,8.20,7.50,,8.40,
02000060,,,6.50,6.00,,,7.40,4.25,6.50,6.60,5.00
02000061,5.50,6.25,,,4.83,2.75,4.00,6.75,,5.20,
