33000001,8.75,9.25,,,8.67,8.00,4.80,7.00,,8.60,
33000002,7.00,8.50,,,6.67,4.50,4.20,7.75,,7.00,
33000003,,,6.00,4.67,,,2.40,5.00,4.00,5.20,4.00
33000004,7.00,8.25,,,7.25,6.50,6.20,8.75,,9.20,
33000005,6.50,8.00,,,7.08,6.75,5.20,7.50,,5.20,
33000006,,,7.25,7.75,,,8.00,7.25,7.75,8.80,8.25
33000007,,,7.50,6.25,,,4.60,7.25,4.25,8.60,7.00
33000008,5.50,6.00,,,4.83,3.00,2.80,5.75,,5.80,
33000009,,,6.00,5.58,,,6.20,5.25,4.25,7.40,6.50
33000010,6.75,7.50,,,6.25,4.50,2.00,4.75,,5.00,
33000011,7.50,8.75,,,7.75,7.00,3.80,6.75,,5.40,
33000012,6.00,7.50,,,5.92,4.25,2.40,4.50,,5.80,
33000013,7.75,7.75,,,7.25,6.25,3.20,5.50,,7.60,
33000014,,,7.00,6.00,,,3.60,6.75,3.75,8.20,7.25
33000015,8.25,9.25,,,7.50,5.00,4.60,7.25,,7.40,
33000016,8.00,9.50,,,8.08,6.75,5.80,6.25,,8.60,
33000017,6.75,8.50,,,7.08,6.00,5.40,7.25,,5.00,
33000018,,,8.75,7.50,,,4.60,6.50,4.75,8.80,9.00
33000019,4.75,7.25,,,5.33,4.00,3.20,6.00,,6.20,
33000020,,,8.75,8.25,,,4.60,6.25,6.75,8.80,9.25
33000021,7.50,8.75,,,7.58,6.50,3.80,5.25,,8.20,
33000022,6.75,7.75,,,5.83,3.00,4.80,5.75,,6.40,
33000023,6.50,9.00,,,7.17,6.00,4.60,6.25,,6.80,
33000024,6.50,6.25,,,5.58,4.00,3.20,6.25,,2.00,
33000025,7.00,6.75,,,5.75,3.50,2.60,5.25,,7.00,
33000026,,,8.50,8.17,,,9.20,5.75,7.25,9.20,8.75
33000027,6.75,7.75,,,6.58,5.25,4.80,7.75,,5.80,
33000028,9.25,8.75,,,8.25,6.75,4.80,7.75,,5.80,
33000029,8.25,9.25,,,8.33,7.50,9.00,8.75,,9.20,
33000030,7.25,8.75,,,7.25,5.75,5.80,7.75,,8.20,
33000031,8.00,8.25,,,6.83,4.25,3.00,6.00,,5.60,
33000032,,,8.50,7.50,,,5.00,8.25,6.00,8.40,8.00
33000033,6.50,7.75,,,6.33,4.75,3.00,7.50,,7.60,
33000034,,,5.50,5.92,,,6.20,6.00,5.00,6.80,7.25
33000035,6.00,7.50,,,6.25,5.25,2.80,4.50,,4.40,
33000036,6.00,6.50,,,5.67,4.50,4.20,5.92,,6.40,
33000037,3.50,6.75,,,4.50,3.25,3.80,6.25,,5.60,
33000038,,,5.50,5.08,,,4.60,6.75,2.50,8.00,7.25
33000039,,,8.50,7.83,,,5.20,6.25,6.50,9.40,8.50
33000040,8.25,8.75,,,7.83,6.50,3.20,6.25,,5.00,
33000041,6.50,7.25,,,5.92,4.00,3.40,2.75,,4.40,
33000042,7.00,7.75,,,7.58,8.00,5.40,5.75,,7.00,
33000043,7.00,8.00,,,7.33,7.00,3.80,6.00,,6.40,
33000044,6.75,6.25,,,5.42,3.25,3.40,5.75,,4.00,
33000045,,,7.75,6.33,,,4.60,6.75,4.00,7.60,7.25
33000046,7.75,9.00,,,7.92,7.00,8.00,7.00,,8.00,
33000047,6.75,8.50,,,7.33,6.75,2.60,6.00,,5.40,
33000048,5.50,7.50,,,6.08,5.25,2.20,6.25,,6.20,
33000049,7.50,8.25,,,7.50,6.75,6.00,7.50,,7.20,
33000050,,,6.00,6.33,,,7.60,6.75,4.50,9.00,8.50
33000051,,,7.00,6.58,,,4.40,7.75,5.25,8.40,7.50
33000052,5.75,8.25,,,6.67,6.00,1.80,8.00,,7.20,
33000053,,,7.75,7.17,,,4.00,6.00,5.00,7.80,8.75
33000054,7.75,8.50,,,7.67,6.75,4.80,7.00,,7.40,
33000055,,,8.00,7.08,,,4.40,6.75,7.00,8.20,6.25
33000056,7.50,8.75,,,7.75,7.00,6.00,6.75,,8.00,
33000057,6.25,7.50,,,5.75,3.50,2.40,6.50,,3.00,
33000058,,,8.75,7.50,,,4.60,6.50,5.00,9.40,8.75
33000059,7.50,9.00,,,7.25,5.25,3.60,6.50,,5.40,
33000060,7.00,6.75,,,6.00,4.25,2.40,6.75,,3.00,
33000061,,,8.50,6.67,,,3.40,7.25,8.00,8.20,3.50
33000062,6.00,7.75,,,6.25,5.00,3.40,6.25,,5.00,
33000063,5.50,7.75,,,5.42,3.00,3.20,6.50,,7.00,
33000064,6.50,8.50,,,6.83,5.50,3.60,6.00,,5.80,
33000065,,,,,,3.75,3.20,4.75,,2.60,
33000066,7.25,7.25,,,6.67,5.50,3.20,6.00,,5.40,
33000067,7.00,8.75,,,6.25,3.00,2.60,6.50,,5.00,
33000068,7.50,7.00,,,6.17,4.00,1.80,4.50,,3.00,
33000069,8.00,8.25,,,6.67,3.75,2.00,6.00,,5.00,
33000070,,,7.00,6.67,,,3.00,7.25,4.50,8.00,8.50
33000071,7.00,8.75,,,7.25,6.00,2.40,6.50,,4.20,
33000072,6.75,7.00,,,6.25,5.00,2.00,7.50,,6.00,
33000073,6.50,8.00,,,6.00,3.50,2.40,6.75,,4.60,
33000074,5.75,8.75,,,6.67,5.50,3.40,7.25,,7.60,
33000075,8.25,9.00,,,7.25,4.50,4.00,7.00,,7.60,
33000076,,,8.00,7.17,,,3.60,6.75,5.75,8.80,7.75
33000077,6.50,8.50,,,6.33,4.00,4.20,6.00,,6.00,
33000078,7.25,7.75,,,7.00,6.00,7.20,7.50,,8.20,
33000079,,,8.00,6.92,,,4.80,6.75,6.00,8.60,6.75
33000080,7.25,8.50,,,6.83,4.75,4.60,7.00,,5.40,
33000081,,,10.00,8.58,,,8.20,6.50,6.25,9.40,9.50
33000082,6.75,7.25,,,6.08,4.25,3.60,5.50,,7.40,
33000083,7.00,8.25,,,6.83,5.25,3.00,7.75,,7.60,
33000084,2.50,3.00,,,2.75,2.75,2.60,4.25,,1.00,
33000085,4.75,6.75,,,5.33,4.50,2.20,5.50,,3.40,
33000086,6.00,8.50,,,6.00,3.50,2.60,5.50,,4.40,
33000087,7.50,6.75,,,5.83,3.25,1.80,6.25,,4.60,
33000088,5.75,7.25,,,5.75,4.25,3.40,6.00,,6.60,
33000089,7.75,8.75,,,6.67,3.50,4.80,6.75,,5.20,
33000090,8.25,8.75,,,7.67,6.00,4.80,6.75,,6.60,
33000091,7.50,8.25,,,6.83,4.75,3.00,4.75,,5.20,
33000092,7.50,9.00,,,7.17,5.00,4.80,8.50,,7.40,
33000093,6.25,7.50,,,6.67,6.25,4.60,7.00,,5.60,
33000094,5.75,7.00,,,5.42,3.50,3.20,7.75,,5.80,
33000095,,,5.00,5.58,,,2.80,6.50,4.25,8.60,7.50
33000096,7.50,8.50,,,7.50,6.50,4.20,7.25,,8.20,
33000097,7.75,7.25,,,7.08,6.25,5.20,7.25,,8.60,
33000098,6.00,6.25,,,5.25,3.50,4.00,6.00,,3.60,
33000099,7.25,7.50,,,6.50,4.75,2.40,7.50,,6.20,
33000100,6.75,8.50,,,7.92,8.50,4.80,7.25,,6.20,
33000101,5.00,7.75,,,5.92,5.00,3.60,6.00,,7.80,
33000102,6.25,8.00,,,6.50,5.25,2.20,5.50,,5.00,
33000103,6.25,6.50,,,5.50,3.75,2.80,4.50,,6.60,
33000104,6.25,7.75,,,5.75,3.25,3.00,4.75,,5.00,
33000105,,,7.50,6.42,,,4.20,6.00,7.50,8.40,4.25
33000106,8.75,9.00,,,7.08,3.50,9.80,5.50,,7.80,
33000107,,,5.00,5.83,,,7.60,5.25,4.00,9.00,8.50
33000108,,,7.75,6.75,,,5.40,6.00,5.25,8.60,7.25
33000109,,,5.75,4.42,,,3.60,7.00,4.75,7.20,2.75
33000110,7.00,8.50,,,7.08,5.75,7.40,9.00,,8.60,
33000111,6.00,8.25,,,6.17,4.25,4.60,6.00,,6.00,
33000112,7.25,7.25,,,6.42,4.75,1.80,7.25,,7.20,
33000113,6.00,6.75,,,5.25,3.00,2.60,4.25,,4.00,
33000114,6.50,8.50,,,5.83,2.50,7.00,8.50,,6.20,
33000115,7.50,9.25,,,7.50,5.75,5.60,7.25,,7.80,
33000116,7.75,9.25,,,7.58,5.75,5.00,8.00,,7.00,
33000117,8.25,9.75,,,8.92,8.75,5.40,8.25,,8.00,
33000118,4.75,7.25,,,5.42,4.25,2.00,8.25,,6.40,
33000119,,,6.25,6.17,,,4.60,6.75,8.25,8.80,4.00
33000120,,,5.75,7.17,,,8.00,6.75,7.00,9.40,8.75
33000121,6.75,8.50,,,7.25,6.50,3.80,8.00,,7.20,
33000122,,,8.00,7.08,,,6.40,6.75,5.00,9.00,8.25
33000123,6.00,6.00,,,5.25,3.75,1.80,6.50,,3.40,
33000124,5.00,7.50,,,5.75,4.75,2.20,6.25,,5.40,
33000125,7.75,7.00,,,6.92,6.00,2.60,6.50,,3.60,
33000126,,,7.25,7.08,,,4.80,6.25,5.50,8.80,8.50
33000127,5.75,8.00,,,6.92,7.00,2.80,6.25,,4.80,
33000128,6.25,7.25,,,6.00,4.50,2.40,7.75,,5.60,
33000129,7.25,7.50,,,6.75,5.50,2.20,7.25,,6.20,
33000130,6.00,7.50,,,5.58,3.25,7.00,8.50,,8.20,
33000131,8.25,8.25,,,7.50,6.00,5.80,7.00,,7.80,
33000132,,,5.75,6.08,,,6.80,6.50,5.50,8.00,7.00
33000133,7.75,9.25,,,8.58,8.75,2.40,6.00,,7.20,
33000134,5.25,6.25,,,4.67,2.50,1.80,5.50,,3.40,
33000135,6.75,7.50,,,6.17,4.25,4.00,6.75,,5.40,
33000136,6.75,8.25,,,6.75,5.25,4.00,7.25,,7.40,
33000137,,,7.50,6.83,,,3.20,6.00,5.00,8.60,8.00
33000138,6.00,7.50,,,6.17,5.00,4.20,6.75,,6.40,
33000139,6.50,8.00,,,6.50,5.00,4.00,7.25,,7.60,
33000140,6.25,8.00,,,7.00,6.75,7.00,6.25,,7.60,
33000141,,,7.25,7.42,,,3.80,7.25,7.25,9.20,7.75
33000142,7.00,8.00,,,6.33,4.00,2.60,6.25,,7.00,
33000143,,,3.50,3.75,,,6.80,6.50,3.50,8.00,4.25
33000144,5.50,6.75,,,5.92,5.50,2.00,6.50,,7.20,
33000145,5.75,7.50,,,5.92,4.50,3.60,7.50,,6.60,
33000146,5.50,7.50,,,6.08,5.25,5.20,7.00,,8.40,
33000147,5.50,6.25,,,5.50,4.75,3.60,7.25,,4.20,
