51000001,,,5.75,6.58,,,5.60,7.50,6.00,8.20,8.00
51000002,,,6.75,7.00,,,6.80,8.75,7.00,8.40,7.25
51000003,6.75,,,,,4.00,,6.25,,4.80,
51000004,,,7.75,6.25,,,6.00,6.75,4.50,7.60,6.50
51000005,8.50,9.50,,,7.50,4.50,6.00,7.75,,6.00,
51000006,,,4.25,5.42,,,2.80,5.00,5.50,8.20,6.50
51000007,,,8.75,8.00,,,4.60,7.25,7.00,8.80,8.25
51000008,5.75,6.75,,,5.92,5.25,2.20,8.25,,4.60,
51000009,,,,,,5.50,,8.00,,6.60,
51000010,5.50,7.00,,,5.83,5.00,5.20,8.75,,6.60,
51000011,7.75,8.75,,,8.42,8.75,6.60,8.00,,6.60,
51000012,,,3.25,5.08,,,6.00,9.00,4.50,7.80,7.50
51000013,,,,,,7.75,,6.50,,7.60,
51000014,,,8.75,8.25,,,7.80,8.75,7.75,8.60,8.25
51000015,6.25,8.00,,,6.42,5.00,5.60,8.50,,8.20,
51000016,7.00,9.25,,,7.00,4.75,6.40,8.25,,7.60,
51000017,7.50,8.75,,,7.00,4.75,6.60,8.00,,8.80,
51000018,8.25,8.75,,,8.50,8.50,7.00,8.75,,8.60,
51000019,6.75,8.25,,,6.83,5.50,7.20,8.00,,7.40,
51000020,7.50,,,,,3.75,,6.50,,4.00,
51000021,4.00,,,,,3.25,,5.75,,3.20,
51000022,,,,,,,,6.25,,3.20,3.00
51000023,,,3.75,5.50,,,7.60,7.00,5.00,8.40,7.75
51000024,7.50,,,,,3.75,,7.25,,6.60,
51000025,7.25,8.50,,,7.92,8.00,6.60,8.25,,7.20,
51000026,,,6.25,6.75,,,6.40,8.50,5.75,7.60,8.25
51000027,6.50,,,,,3.00,,6.75,,4.60,
51000028,7.75,8.25,,,8.08,8.25,6.60,8.00,,8.60,
51000029,,,5.00,5.83,,,8.00,8.75,5.50,8.60,7.00
51000030,7.75,9.75,,,7.33,4.50,9.80,9.00,,8.80,
51000031,,,8.50,7.08,,,5.00,6.00,7.25,8.20,5.50
51000032,,,7.50,6.83,,,5.40,7.75,5.25,8.00,7.75
51000033,,,6.75,6.67,,,4.20,7.25,5.50,8.20,7.75
51000034,,,5.75,5.83,,,5.80,8.50,7.00,7.80,4.75
51000035,5.50,5.50,,,4.92,3.75,2.00,4.00,,3.60,
51000036,7.75,7.75,,,6.92,5.25,6.80,8.50,,8.60,
51000037,,,3.50,5.00,,,6.80,7.00,4.50,9.00,7.00
51000038,,,5.25,6.25,,,7.40,8.00,6.00,7.80,7.50
51000039,,,5.00,5.50,,,8.60,7.00,5.00,8.20,6.50
51000040,7.75,7.25,,,7.33,7.00,4.80,7.75,,7.80,
51000041,6.00,8.50,,,5.92,3.25,4.00,7.25,,5.20,
51000042,4.75,,,,,4.25,,4.50,,3.80,
51000043,4.75,,,,,3.00,,2.50,,,
51000044,,,4.50,5.58,,,9.20,6.75,6.00,8.80,6.25
51000045,,,4.25,6.25,,,6.60,6.75,5.75,9.00,8.75
51000046,7.50,9.00,,,7.92,7.25,8.40,9.00,,8.20,
51000047,7.75,8.25,,,7.17,5.50,5.80,9.25,,8.80,
51000048,5.25,,,,,7.25,,5.25,,3.00,
51000049,,,,,,5.00,,5.75,,4.00,
51000050,,,7.00,6.50,,,,7.75,6.50,6.80,6.00
51000051,7.75,8.50,,,8.00,7.75,5.60,6.50,,6.40,
51000052,4.25,6.25,,,5.25,5.25,2.20,7.50,,4.60,
51000053,7.75,9.25,,,7.42,5.25,6.80,9.00,,7.40,
51000054,,,6.00,5.67,,,6.60,6.00,4.25,8.40,6.75
51000055,5.25,7.00,,,5.58,4.50,2.60,8.00,,6.00,
51000056,6.25,7.00,,,6.00,4.75,2.80,6.75,,4.20,
51000057,,,5.00,5.83,,,7.00,6.75,4.25,8.20,8.25
51000058,,,6.00,6.83,,,9.20,7.75,5.75,9.00,8.75
51000059,8.25,9.50,,,8.00,6.25,6.80,8.75,,7.80,
51000060,6.25,,,,,5.00,,7.00,,6.20,
51000061,7.50,7.75,,,7.08,6.00,6.80,8.25,,7.20,
51000062,,,,,,9.00,,5.75,,4.00,
