52000001,,,9.00,7.92,,,,8.75,8.00,9.60,6.75
52000002,,,,,,,8.60,8.25,,7.40,
52000003,8.00,9.00,,,7.83,6.50,9.20,9.00,,8.40,
52000004,7.50,9.75,,,8.50,8.25,8.60,8.50,,9.00,
52000005,,,4.75,5.50,,,,7.00,5.50,6.60,6.25
52000006,,,8.00,6.67,,,6.00,7.75,3.75,8.20,8.25
52000007,,,7.75,8.08,,,8.80,8.50,7.50,9.40,9.00
52000008,5.50,7.25,,,6.08,5.50,6.00,7.50,,6.60,
52000009,8.50,8.50,,,7.17,4.50,9.80,8.75,,8.20,
52000010,6.75,8.50,,,7.58,7.50,6.20,6.75,,8.20,
52000011,8.00,8.25,,,7.67,6.75,8.20,8.25,,7.20,
52000012,,,8.25,7.08,,,4.80,7.00,6.50,8.00,6.50
52000013,,,8.00,7.17,,,6.20,7.75,6.25,7.80,7.25
52000014,7.25,9.25,,,8.00,7.50,7.80,8.25,,8.40,
52000015,,,6.50,6.33,,,6.40,7.75,4.25,8.60,8.25
52000016,7.75,9.25,,,7.50,5.50,3.80,6.92,,6.60,
52000017,,,6.25,6.67,,,8.80,8.50,6.25,8.00,7.50
52000018,7.00,8.25,,,7.25,6.50,5.20,8.00,,7.60,
52000019,,,8.25,7.17,,,4.60,8.25,5.25,8.00,8.00
52000020,,,7.25,7.17,,,7.20,8.00,6.50,8.60,7.75
52000021,,,6.75,7.58,,,9.00,8.00,7.50,9.20,8.50
52000022,9.25,9.25,,,8.92,8.25,9.80,9.25,,8.20,
52000023,6.75,8.50,,,6.83,5.25,5.60,8.00,,8.40,
52000024,6.75,8.50,,,7.08,6.00,3.80,6.75,,6.60,
52000025,5.00,6.75,,,5.25,4.00,2.80,7.00,,4.00,
52000026,,,8.00,7.67,,,5.80,8.00,6.75,9.00,8.25
52000027,,,7.50,7.17,,,7.00,8.25,6.50,9.00,7.50
52000028,5.50,7.25,,,6.17,5.75,3.80,7.75,,6.00,
52000029,8.00,9.00,,,7.75,6.25,,8.50,,7.40,
52000030,6.75,7.75,,,6.42,4.75,7.80,8.50,,7.60,
52000031,,,5.50,6.08,,,6.20,7.50,5.25,9.00,7.50
52000032,7.75,9.25,,,8.67,9.00,9.60,8.75,,8.60,
52000033,,,6.25,4.92,,,3.80,7.25,4.25,7.40,4.25
52000034,,,8.25,8.25,,,,8.00,8.50,9.40,8.00
52000035,5.50,8.75,,,6.00,3.75,2.40,6.25,,6.20,
52000036,,,8.00,7.58,,,7.60,8.00,7.25,8.20,7.50
52000037,6.75,6.50,,,6.08,5.00,5.20,8.50,,7.60,
52000038,,,4.50,5.17,,,6.20,8.00,4.75,8.60,6.25
52000039,7.75,8.00,,,7.50,6.75,6.40,8.00,,8.20,
52000040,8.25,9.50,,,8.92,9.00,8.60,8.75,,8.60,
52000041,,,5.75,6.25,,,8.40,6.50,5.25,8.40,7.75
52000042,6.25,8.00,,,7.33,7.75,8.40,6.75,,6.00,
52000043,,,8.25,7.33,,,6.80,7.50,6.50,8.60,7.25
52000044,6.25,8.25,,,6.08,3.75,5.20,7.00,,4.00,
52000045,6.75,8.50,,,7.08,6.00,4.20,6.50,,7.20,
52000046,5.00,8.25,,,5.67,3.75,4.20,7.00,,5.40,
52000047,5.75,8.00,,,6.08,4.50,4.60,8.25,,6.60,
52000048,,,7.75,7.08,,,8.00,6.75,6.25,8.80,7.25
52000049,,,8.50,7.25,,,7.00,7.25,8.50,8.80,4.75
52000050,,,4.25,5.83,,,7.40,8.25,5.25,7.40,8.00
52000051,5.50,7.00,,,5.83,5.00,9.20,8.25,,8.60,
52000052,,,7.25,6.92,,,8.00,7.75,6.00,8.80,7.50
52000053,,,7.25,6.25,,,10.00,8.75,6.25,9.00,5.25
52000054,,,6.75,6.17,,,6.80,7.75,5.00,7.80,6.75
52000055,,,7.00,7.33,,,9.00,7.75,7.00,8.60,8.00
52000056,,,9.00,8.00,,,6.00,7.25,9.00,9.20,6.00
52000057,6.50,8.25,,,6.92,6.00,4.00,6.50,,6.40,
52000058,6.00,8.50,,,6.75,5.75,8.60,8.50,,8.20,
52000059,,,7.75,7.92,,,9.60,8.25,7.00,8.40,9.00
52000060,7.75,9.00,,,7.83,6.75,8.40,8.75,,5.40,
52000061,,,9.00,7.83,,,7.40,6.25,6.50,9.40,8.00
52000062,,,4.75,5.17,,,9.00,7.25,3.50,8.00,7.25
52000063,,,6.50,6.58,,,8.80,7.25,8.25,9.00,5.00
52000064,,,8.75,6.33,,,9.20,7.25,5.50,9.40,4.75
52000065,5.75,7.25,,,5.67,4.00,4.20,6.75,,6.40,
52000066,,,5.00,6.67,,,8.20,7.75,6.75,9.20,8.25
52000067,7.50,7.75,,,7.33,6.75,5.80,7.50,,7.60,
52000068,6.75,8.50,,,7.33,6.75,5.00,8.75,,7.40,
52000069,,,7.25,7.33,,,8.80,6.50,6.75,8.40,8.00
52000070,7.75,8.75,,,7.75,6.75,,7.75,,8.60,
52000071,8.25,9.25,,,8.25,7.25,8.80,8.50,,9.00,
52000072,7.25,8.75,,,7.58,6.75,7.40,7.50,,8.00,
52000073,5.25,8.50,,,5.83,3.75,4.60,6.75,,7.20,
52000074,,,6.50,6.08,,,5.20,6.75,4.25,8.20,7.50
52000075,,,6.50,5.58,,,5.00,6.75,4.25,7.80,6.00
52000076,,,8.25,7.83,,,6.80,7.50,7.00,7.80,8.25
52000077,6.75,8.50,,,6.83,5.25,7.40,7.75,,7.60,
52000078,6.00,9.25,,,6.58,4.50,6.20,7.50,,7.40,
52000079,6.75,7.50,,,6.50,5.25,4.60,7.00,,6.00,
52000080,5.75,8.50,,,5.75,3.00,4.00,6.75,,5.00,
52000081,,,7.75,6.83,,,6.80,8.75,7.00,7.80,5.75
52000082,9.00,9.25,,,8.83,8.25,3.20,9.25,,9.00,
52000083,7.25,8.00,,,6.75,5.00,9.00,7.75,,8.80,
52000084,7.50,8.25,,,6.83,4.75,3.40,7.50,,7.20,
52000085,,,6.00,5.75,,,4.40,7.50,5.25,7.80,6.00
52000086,8.00,9.25,,,8.50,8.25,9.40,8.75,,9.40,
52000087,7.00,9.25,,,7.58,6.50,8.80,8.00,,7.80,
52000088,,,6.50,6.42,,,9.80,6.00,3.75,9.40,9.00
52000089,,,8.00,6.83,,,8.60,8.75,5.25,9.20,7.25
52000090,,,7.75,7.58,,,,8.00,6.75,8.20,8.25
52000091,8.00,8.00,,,7.58,6.75,8.20,8.50,,8.40,
52000092,,,8.25,7.00,,,6.00,6.50,5.75,7.80,7.00
52000093,6.50,7.50,,,6.42,5.25,3.80,6.75,,7.60,
52000094,,,4.75,5.50,,,,6.75,5.25,7.40,6.50
52000095,6.25,8.25,,,6.33,4.50,5.00,8.00,,7.40,
52000096,,,8.00,7.42,,,6.20,6.50,5.25,9.40,9.00
