44000001,,,8.00,7.08,,,4.40,7.50,5.50,8.40,7.75
44000002,,,8.25,7.17,,,,6.00,6.25,7.60,7.00
44000003,,,4.50,4.92,,,4.00,5.00,5.75,7.00,4.50
44000004,7.50,9.25,,,8.67,9.25,7.40,6.75,,7.20,
44000005,8.00,9.00,,,8.50,8.50,9.20,7.00,,7.60,
44000006,,,6.75,6.92,,,7.40,6.75,5.75,8.40,8.25
44000007,7.25,8.25,,,6.58,4.25,6.20,6.00,,7.40,
44000008,8.00,9.25,,,8.25,7.50,5.60,7.50,,7.60,
44000009,,,7.25,7.58,,,9.20,7.50,7.00,8.60,8.50
44000010,8.50,8.75,,,8.17,7.25,2.80,7.00,,6.00,
44000011,6.75,,,,,5.00,,6.25,,4.00,
44000012,7.00,,,,,3.75,,6.50,,2.00,
44000013,,,9.25,8.67,,,8.80,7.00,7.75,9.20,9.00
44000014,,,6.25,6.17,,,2.80,7.50,5.75,7.40,6.50
44000015,6.75,8.00,,,6.42,4.50,3.40,7.00,,6.60,
44000016,,,7.75,6.92,,,6.00,8.00,5.75,8.40,7.25
44000017,7.25,9.25,,,7.83,7.00,7.60,8.00,,7.40,
44000018,8.00,,,,,5.50,,7.00,,6.60,
44000019,,,8.50,8.17,,,7.60,5.50,7.25,8.60,8.75
44000020,,,8.25,7.58,,,5.00,7.00,6.50,9.00,8.00
44000021,,,7.75,6.00,,,5.20,6.75,5.25,7.20,5.00
44000022,6.25,9.00,,,6.75,5.00,4.60,8.00,,6.80,
44000023,,,3.75,5.67,,,7.20,6.00,5.50,9.00,7.75
44000024,,,6.75,5.50,,,3.60,6.00,4.00,7.40,5.75
44000025,7.50,9.00,,,7.33,5.50,6.20,6.50,,7.00,
44000026,,,7.00,7.08,,,6.60,6.75,7.25,7.80,7.00
44000027,,,8.00,7.75,,,6.00,6.75,7.75,8.80,7.50
44000028,,,6.00,6.33,,,4.40,7.25,5.75,7.40,7.25
44000029,,,7.75,7.00,,,6.80,8.25,6.00,7.80,7.25
44000030,7.75,8.50,,,7.42,6.00,6.40,8.25,,6.40,
44000031,,,8.25,8.25,,,9.40,8.25,8.00,9.60,8.50
44000032,8.75,9.00,,,9.17,9.75,8.40,9.25,,7.40,
44000033,,,7.50,6.33,,,7.40,9.00,5.00,9.00,6.50
