19000001,7.75,9.00,,,7.67,6.25,10.00,9.25,,9.40,
19000002,8.25,8.25,,,8.75,9.75,5.40,9.00,,7.20,
19000003,,,6.75,5.75,,,5.00,6.25,3.75,9.00,6.75
19000004,,,7.25,7.50,,,8.80,6.50,6.50,9.20,8.75
19000005,,,6.00,7.17,,,9.60,7.75,6.00,10.00,9.50
19000006,,,5.50,7.08,,,6.00,6.75,6.75,8.60,9.00
19000007,,,8.25,6.50,,,5.40,6.25,3.25,9.40,8.00
19000008,,,8.25,7.17,,,5.20,7.25,8.75,8.00,4.50
19000009,,,7.00,7.42,,,9.00,5.25,6.25,8.80,9.00
19000010,,,5.75,7.00,,,9.20,7.50,6.00,9.60,9.25
19000011,7.00,8.00,,,6.25,3.75,8.80,8.00,,8.00,
19000012,9.50,9.00,,,9.17,9.00,4.00,8.50,,4.00,
19000013,6.75,9.25,,,7.75,7.25,8.40,8.00,,8.80,
19000014,7.75,8.50,,,7.83,7.25,9.00,8.25,,8.40,
19000015,7.00,8.25,,,7.50,7.25,9.60,8.50,,9.40,
19000016,,,4.25,6.08,,,7.20,7.25,5.50,8.80,8.50
19000017,,,7.50,6.83,,,7.20,7.50,5.00,8.60,8.00
19000018,8.00,9.75,,,8.17,6.75,8.40,8.50,,8.60,
19000019,,,8.75,7.17,,,4.80,8.00,8.75,9.00,4.00
19000020,6.75,9.50,,,7.08,5.00,7.80,8.75,,9.00,
19000021,7.25,8.75,,,7.58,6.75,8.20,9.00,,7.40,
19000022,7.25,7.75,,,6.42,4.25,9.00,8.00,,9.20,
19000023,,,10.00,9.25,,,6.40,7.00,9.50,10.00,8.25
19000024,8.00,8.00,,,6.75,4.25,9.40,9.00,,8.60,
19000025,,,6.75,7.50,,,8.80,6.75,6.00,8.60,9.75
19000026,9.25,8.25,,,8.92,9.25,5.80,8.50,,4.80,
19000027,8.50,9.25,,,8.67,8.25,9.20,9.25,,9.00,
19000028,6.75,8.75,,,7.00,5.50,8.40,9.00,,9.20,
19000029,7.75,8.75,,,7.83,7.00,8.80,9.00,,9.40,
19000030,7.50,7.75,,,6.92,5.50,7.20,8.50,,8.40,
19000031,7.50,8.50,,,6.92,4.75,7.00,9.25,,8.00,
19000032,,,8.75,7.33,,,6.20,6.00,4.25,9.00,9.00
19000033,10.00,10.00,,,9.75,9.25,8.40,8.50,,8.00,
19000034,,,9.00,7.92,,,5.00,7.75,9.50,9.20,5.25
19000035,,,9.00,7.58,,,8.80,6.25,6.00,8.40,7.75
19000036,7.50,8.25,,,7.25,6.00,8.60,9.00,,8.20,
19000037,,,9.00,8.83,,,7.00,6.50,8.25,9.20,9.25
19000038,9.25,9.00,,,9.33,9.75,4.40,8.75,,8.60,
19000039,,,8.00,7.75,,,4.80,6.75,7.00,8.20,8.25
19000040,,,8.75,7.33,,,6.40,7.50,8.25,7.40,5.00
19000041,8.25,9.00,,,8.50,8.25,4.60,7.25,,7.40,
19000042,,,9.50,8.25,,,6.00,7.75,6.50,9.00,8.75
19000043,,,8.50,7.00,,,7.00,7.25,8.00,8.60,4.50
19000044,,,9.00,6.83,,,4.40,5.25,3.25,9.60,8.25
19000045,7.00,8.25,,,7.33,6.75,9.40,8.50,,8.40,
19000046,9.50,9.25,,,9.33,9.25,9.00,7.75,,6.80,
19000047,7.25,9.00,,,7.50,6.25,8.00,8.75,,8.40,
19000048,,,9.50,7.33,,,8.00,8.00,4.00,8.80,8.50
19000049,6.25,8.00,,,6.75,6.00,7.60,8.50,,7.40,
19000050,,,9.00,7.42,,,7.00,8.50,4.50,9.00,8.75
19000051,,,9.50,7.75,,,7.40,7.00,5.25,9.60,8.50
19000052,,,8.25,6.83,,,5.20,7.75,7.75,8.60,4.50
19000053,,,4.25,6.08,,,8.40,7.00,4.75,9.40,9.25
19000054,,,8.25,7.58,,,6.20,6.75,6.25,8.80,8.25
19000055,7.25,7.50,,,6.83,5.75,8.80,7.25,,7.40,
19000056,9.75,8.75,,,9.42,9.75,6.80,8.50,,6.80,
19000057,,,6.25,7.50,,,8.40,7.00,6.75,9.60,9.50
19000058,8.75,9.50,,,8.75,8.00,5.80,8.00,,6.20,
19000059,,,9.00,7.33,,,5.40,8.00,8.50,9.00,4.50
19000060,,,9.50,7.83,,,7.80,8.00,5.75,9.00,8.25
19000061,,,9.25,7.08,,,5.00,6.50,4.00,8.40,8.00
19000062,,,3.00,4.67,,,6.20,6.50,4.50,8.40,6.50
19000063,,,7.00,5.67,,,6.20,5.00,5.75,8.20,4.25
19000064,7.25,8.25,,,6.83,5.00,9.20,7.75,,8.40,
19000065,,,9.00,7.42,,,6.40,5.25,8.75,9.60,4.50
19000066,,,7.75,6.92,,,7.80,7.25,7.00,9.40,6.00
19000067,8.25,9.25,,,8.00,6.50,8.00,9.00,,9.00,
19000068,7.25,8.75,,,6.58,3.75,7.80,9.00,,8.40,
19000069,7.25,8.75,,,7.17,5.50,9.20,9.00,,8.80,
19000070,7.25,8.75,,,7.92,7.75,9.80,9.00,,9.80,
19000071,6.75,9.00,,,7.08,5.50,5.80,7.50,,7.60,
19000072,,,9.50,8.58,,,6.00,7.50,8.00,9.00,8.25
19000073,,,3.75,5.42,,,5.40,5.00,4.00,8.40,8.50
19000074,,,9.00,7.33,,,4.60,5.00,8.75,9.20,4.25
19000075,,,8.25,7.67,,,5.60,7.00,7.50,8.40,7.25
19000076,,,3.75,5.58,,,8.00,6.00,3.75,8.80,9.25
19000077,,,8.50,8.00,,,7.40,7.25,6.25,9.60,9.25
19000078,,,9.00,7.75,,,4.80,7.00,5.25,9.00,9.00
19000079,,,9.50,7.58,,,4.60,6.00,4.00,9.40,9.25
19000080,,,8.75,7.42,,,5.40,6.00,4.50,8.40,9.00
19000081,8.25,5.50,,,5.92,4.00,8.00,8.00,,8.60,
19000082,8.00,7.50,,,7.25,6.25,9.20,7.75,,8.60,
