07000001,,,8.50,7.67,,,4.60,6.00,7.00,8.60,7.50
07000002,,,8.50,7.58,,,6.80,7.50,8.50,9.40,5.75
07000003,8.00,8.75,,,7.92,7.00,4.00,6.75,,5.60,
07000004,8.00,9.75,,,8.25,7.00,9.00,8.50,,8.20,
07000005,,,,,,,1.40,,,3.00,2.00
07000006,8.50,9.00,,,7.42,4.75,8.00,6.50,,8.40,
07000007,6.50,9.00,,,6.67,4.50,4.20,6.00,,7.00,
07000008,5.75,8.50,,,6.83,6.25,5.80,7.50,,6.40,
07000009,7.25,8.00,,,6.25,3.50,3.00,4.00,,6.00,
07000010,,,8.25,6.42,,,7.40,5.50,5.25,8.60,5.75
07000011,7.50,8.25,,,8.33,9.25,6.00,6.25,,7.80,
07000012,5.75,7.75,,,6.25,5.25,6.60,7.50,,7.80,
07000013,8.25,9.75,,,7.67,5.00,4.20,6.50,,6.20,
07000014,,,3.25,5.67,,,7.00,6.00,5.75,9.00,8.00
07000015,6.25,9.00,,,6.33,3.75,4.20,6.00,,5.80,
07000016,7.25,9.00,,,7.08,5.00,3.80,5.75,,4.80,
07000017,7.25,9.50,,,7.17,4.75,3.20,6.50,,8.00,
07000018,8.00,8.75,,,7.67,6.25,3.80,5.50,,7.20,
07000019,,,8.75,7.75,,,5.60,6.50,5.75,9.20,8.75
07000020,6.25,8.50,,,6.75,5.50,8.20,6.75,,8.40,
07000021,,,6.00,6.25,,,5.20,5.25,5.00,8.20,7.75
07000022,6.00,9.25,,,6.83,5.25,4.60,7.25,,7.40,
07000023,,,5.00,4.50,,,3.40,5.25,2.25,7.00,6.25
07000024,,,,,,3.75,,4.25,,1.80,
07000025,7.75,8.00,,,7.83,7.75,9.00,7.25,,9.20,
07000026,8.25,9.00,,,8.00,6.75,7.20,6.00,,5.80,
07000027,,,6.75,6.50,,,4.00,6.25,5.00,8.20,7.75
07000028,,,7.00,5.83,,,4.00,4.25,3.25,8.20,7.25
07000029,,,5.75,5.83,,,3.60,4.50,5.25,7.40,6.50
07000030,,,,,,8.00,,5.25,,7.60,
07000031,6.50,7.75,,,5.92,3.50,4.00,4.00,,4.00,
07000032,,,,,,7.75,,4.50,,6.20,
07000033,,,,,,4.50,,3.50,,3.20,
07000034,,,,,,8.50,,5.50,,6.40,
07000035,7.75,6.50,,,7.25,7.50,2.60,6.75,,6.40,
07000036,8.00,9.00,,,7.25,4.75,5.20,6.75,,8.20,
07000038,,,7.50,6.50,,,4.80,5.50,5.00,8.40,7.00
07000039,7.75,8.75,,,7.83,7.00,6.80,6.75,,7.00,
07000040,,,6.75,5.92,,,8.20,6.00,5.75,7.80,5.25
07000041,,,7.25,7.00,,,4.60,6.25,6.75,7.80,7.00
07000042,8.00,,,,,8.50,,6.50,,,
07000043,7.00,7.75,,,6.50,4.75,4.40,4.00,,4.40,
07000044,,,,,,5.25,,4.00,,3.20,
07000045,,,,,,9.00,,6.75,,7.40,
07000046,,,5.75,5.17,,,3.80,4.25,4.50,7.40,5.25
07000047,5.25,,,,,4.25,,3.50,,4.20,
07000048,,,,,,2.75,,3.25,,1.60,
07000049,,,,,,8.00,,5.25,,6.60,
07000050,8.50,9.50,,,9.00,9.00,4.80,6.25,,6.20,
07000051,7.50,,,,,6.25,,4.75,,,
07000052,,,,,,9.00,,6.25,,6.20,
07000053,,,,,,5.25,,4.75,,5.80,
07000054,7.00,6.50,,,6.00,4.50,3.80,4.00,,5.00,
07000055,,,6.50,6.42,,,4.40,6.25,6.25,7.00,6.50
07000056,3.75,5.50,,,3.92,2.50,3.80,3.25,,3.80,
07000057,,,,,,8.50,,6.00,,8.20,
07000058,,,,,,4.75,,3.25,,4.80,
07000059,,,,,,4.00,,2.75,,4.00,
07000060,,,,,,7.00,,5.50,,6.00,
07000061,8.50,,,,,8.50,,5.25,,,
07000062,6.75,7.00,,,6.42,5.50,4.00,5.75,,7.20,
07000063,,,5.25,6.00,,,7.20,5.25,6.75,8.80,6.00
07000064,8.75,8.50,,,8.50,8.25,3.80,4.25,,7.20,
07000065,,,,,,7.50,,5.50,,6.40,
07000066,,,,,,6.50,,3.75,,8.00,
07000067,7.00,8.75,,,7.00,5.25,4.00,5.25,,5.60,
07000068,7.50,9.00,,,7.25,5.25,3.00,6.75,,6.00,
07000069,,,7.25,6.17,,,4.40,6.25,5.25,6.60,6.00
07000070,,,8.00,6.92,,,5.40,5.50,9.00,8.80,3.75
07000071,,,2.75,5.17,,,8.00,5.75,4.50,8.20,8.25
07000072,,,,,,9.25,,5.25,,7.20,
07000073,,,3.25,5.25,,,5.00,4.50,5.00,8.00,7.50
07000074,3.75,,,,,3.00,,2.25,,4.20,
07000075,,,,,,3.00,,2.50,,2.00,
07000076,6.50,6.00,,,5.42,3.75,3.60,3.75,,6.60,
07000077,,,3.25,,,,,,,2.40,1.00
07000078,,,3.00,,,,,,,2.40,1.75
07000079,6.25,7.50,,,6.00,4.25,3.60,5.50,,7.20,
07000080,7.75,7.75,,,6.42,3.75,4.40,5.75,,5.60,
07000081,8.50,9.00,,,8.42,7.75,4.40,6.50,,7.40,
07000082,,,,,,4.25,,2.75,,2.00,
07000083,,,4.25,,,,,,,6.60,3.50
07000084,9.25,9.00,,,9.17,9.25,5.20,7.75,,7.80,
07000085,7.50,9.25,,,7.58,6.00,6.00,7.00,,6.60,
07000086,5.50,7.75,,,5.58,3.50,3.40,5.25,,5.40,
07000087,7.50,8.75,,,7.33,5.75,4.80,5.50,,6.80,
07000088,8.25,9.00,,,8.42,8.00,4.00,5.50,,5.60,
07000089,,,,,,6.25,,4.00,,5.40,
07000090,,,,,,7.25,,5.00,,8.20,
07000091,,,8.25,7.75,,,3.80,5.25,6.50,8.60,8.50
07000092,6.75,7.00,,,6.67,6.25,2.20,5.00,,5.40,
07000093,,,,,,5.00,,2.25,,7.00,
07000094,,,,,,5.50,,2.75,,3.40,
07000095,5.75,8.00,,,6.42,5.50,1.80,3.75,,4.20,
07000096,8.00,9.00,,,8.33,8.00,5.00,4.50,,6.80,
07000097,5.75,8.50,,,6.17,4.25,3.60,5.75,,7.60,
07000098,,,,,,6.50,,4.75,,6.80,
07000099,4.00,,,,,2.50,,1.50,,3.40,
07000100,,,7.75,7.08,,,5.40,6.00,6.25,8.00,7.25
07000101,,,,,,5.75,,3.00,,4.40,
07000102,6.00,7.50,,,6.25,5.25,6.40,6.00,,7.00,
07000103,,,,,,8.50,,7.25,,7.80,
07000104,7.00,7.50,,,6.08,3.75,6.40,4.75,,7.20,
07000105,6.00,7.25,,,6.00,4.75,3.40,4.75,,5.60,
07000106,,,4.50,5.00,,,5.20,5.00,3.75,7.40,6.75
07000107,,,5.75,5.58,,,2.40,6.75,5.00,8.40,6.00
07000108,,,7.00,7.00,,,3.60,8.00,5.75,8.80,8.25
07000109,,,5.50,5.92,,,5.60,4.75,4.75,8.60,7.50
07000110,,,7.75,7.25,,,7.60,7.00,5.50,8.40,8.50
07000111,,,,,,6.00,,4.00,,4.20,
07000112,,,7.50,7.08,,,4.00,6.75,6.25,8.80,7.50
