10000001,,,8.75,6.58,,,5.80,5.75,3.25,9.20,7.75
10000002,7.75,8.25,,,8.33,9.00,6.80,8.75,,8.60,
10000003,6.00,8.00,,,6.67,6.00,7.00,6.75,,6.60,
10000004,,,10.00,7.83,,,5.00,5.50,5.25,9.60,8.25
10000005,7.50,7.00,,,6.50,5.00,2.80,7.00,,3.00,
10000006,8.75,8.75,,,7.92,6.25,8.60,8.50,,7.40,
10000007,6.75,7.25,,,6.17,4.50,4.20,7.00,,2.00,
10000008,8.50,7.25,,,6.92,5.00,6.20,8.25,,8.00,
10000009,8.50,8.50,,,8.08,7.25,8.20,9.00,,8.80,
10000010,6.25,7.25,,,6.17,5.00,3.20,5.00,,3.80,
10000011,,,5.00,6.50,,,7.60,7.75,6.25,9.20,8.25
10000012,6.25,,,,,4.50,,5.00,,3.80,
10000013,7.25,7.75,,,6.92,5.75,7.00,8.00,,7.60,
10000014,8.50,7.50,,,8.33,9.00,6.00,6.75,,5.80,
10000015,,,8.00,6.92,,,5.20,8.25,5.25,8.20,7.50
10000016,,,8.25,7.58,,,6.00,7.50,8.50,9.20,6.00
10000017,,,8.50,6.33,,,6.80,6.50,6.75,8.60,3.75
10000018,7.50,6.50,,,7.08,7.25,6.20,7.25,,7.00,
10000019,,,8.00,7.50,,,3.40,5.50,6.00,9.00,8.50
10000020,,,8.00,7.75,,,9.00,5.50,6.75,8.20,8.50
10000021,7.75,9.25,,,7.58,5.75,7.00,7.75,,7.40,
10000022,8.00,8.00,,,6.67,4.00,8.60,8.50,,8.60,
10000023,,,9.00,7.25,,,5.00,5.00,7.50,8.40,5.25
10000024,,,7.50,5.17,,,5.20,6.50,4.75,8.00,3.25
10000025,6.50,8.00,,,6.42,4.75,4.60,6.25,,4.00,
10000026,7.75,8.75,,,7.50,6.00,6.40,7.25,,7.80,
10000027,7.50,7.75,,,6.83,5.25,6.80,6.75,,6.20,
10000028,,,8.75,8.08,,,9.20,6.75,7.75,9.60,7.75
10000029,9.25,9.00,,,9.08,9.00,4.60,8.50,,5.80,
10000030,8.75,8.50,,,8.17,7.25,7.80,8.25,,8.60,
10000031,5.00,,,,,4.75,,5.75,,3.20,
10000032,8.75,7.75,,,8.67,9.50,4.40,8.00,,7.00,
10000033,6.75,,,,,3.50,,3.25,,4.00,
10000034,6.50,,,,,6.00,,7.00,,5.20,
10000035,,,3.50,4.25,,,4.40,5.75,3.75,7.40,5.50
10000036,7.25,,,,,6.25,,5.50,,5.20,
10000037,7.25,,,,,4.25,,7.25,,7.40,
10000038,,,7.00,7.42,,,9.20,8.25,5.75,9.20,9.50
10000039,,,4.00,4.92,,,5.20,5.50,4.50,6.40,6.25
10000040,7.25,,,,,6.75,,6.75,,6.80,
10000041,,,9.50,6.17,,,8.60,6.00,4.00,9.40,5.00
10000042,7.00,8.00,,,7.00,6.00,4.60,7.25,,7.60,
10000043,6.50,9.50,,,6.83,4.50,8.60,8.50,,8.00,
10000044,,,7.75,7.08,,,5.00,8.25,5.50,8.80,8.00
10000045,,,4.75,5.33,,,4.60,8.25,3.50,8.20,7.75
10000046,,,8.00,6.83,,,4.80,5.50,4.75,9.20,7.75
10000047,,,8.25,8.08,,,8.20,8.00,7.00,9.40,9.00
10000048,7.25,7.00,,,6.50,5.25,2.60,5.75,,5.60,
10000049,7.00,,,,,5.00,,4.75,,5.60,
10000050,7.50,,,,,4.25,,5.25,,7.80,
10000051,8.75,9.00,,,7.83,5.75,7.00,8.50,,8.40,
10000052,8.00,8.00,,,7.08,5.25,5.20,8.00,,7.00,
10000053,,,7.75,6.50,,,4.40,7.75,3.75,8.40,8.00
10000054,,,8.25,7.42,,,5.20,7.25,5.50,9.20,8.50
10000055,,,8.50,7.08,,,5.80,5.75,4.50,8.80,8.25
10000056,6.75,9.00,,,7.00,5.25,7.80,9.00,,5.60,
10000057,5.25,,,,,3.50,,4.00,,3.20,
10000058,,,8.50,6.75,,,5.80,7.25,3.75,8.20,8.00
10000059,,,3.25,5.00,,,8.60,6.25,3.50,9.40,8.25
10000060,6.50,,,,,4.00,,6.25,,5.40,
10000061,7.25,,,,,2.50,,4.25,,3.80,
10000062,,,8.50,7.50,,,7.60,8.25,7.00,9.40,7.00
10000063,,,7.00,5.83,,,3.40,6.25,5.25,7.40,5.25
10000064,8.50,7.25,,,7.00,5.25,7.20,8.50,,8.00,
10000065,,,6.50,5.83,,,5.40,5.75,4.75,8.20,6.25
10000066,7.75,,,,,5.25,,3.75,,2.40,
10000067,,,3.75,5.50,,,6.40,7.00,5.00,8.00,7.75
10000068,,,5.25,5.50,,,7.80,6.75,3.75,7.80,7.50
10000069,6.50,,,,,3.25,,4.25,,4.60,
10000070,3.75,,,,,3.00,,3.75,,5.00,
10000071,,,7.75,6.50,,,4.80,5.25,3.50,8.60,8.25
10000072,6.75,8.50,,,6.75,5.00,3.60,3.75,,6.00,
10000073,,,6.00,5.92,,,8.80,5.25,3.50,8.80,8.25
10000074,7.25,8.00,,,6.58,4.50,2.80,5.25,,4.40,
10000075,,,5.50,6.58,,,8.20,5.75,6.00,8.60,8.25
10000076,6.50,,,,,5.25,,5.25,,5.60,
10000077,,,8.75,6.83,,,5.00,6.25,4.50,8.60,7.25
10000078,8.00,7.75,,,7.67,7.25,8.80,6.25,,5.80,
10000079,,,5.50,5.42,,,7.60,8.00,4.75,7.60,6.00
10000080,,,8.50,7.83,,,6.00,6.75,5.75,8.80,9.25
10000081,8.50,8.25,,,8.75,9.50,3.20,7.50,,3.40,
10000082,6.50,9.00,,,6.50,4.00,9.00,7.50,,8.40,
10000083,8.00,8.50,,,8.58,9.25,5.40,9.00,,7.00,
10000084,,,9.00,8.42,,,7.40,7.75,8.00,8.20,8.25
10000085,7.25,,,,,6.25,,6.50,,3.80,
10000086,,,8.00,6.75,,,7.20,8.25,6.50,8.20,5.75
10000087,6.25,,,,,5.50,,5.25,,5.20,
10000088,5.00,,,,,4.25,,4.50,,2.00,
10000089,,,8.25,7.83,,,7.60,7.50,8.00,8.80,7.25
10000090,5.75,,,,,4.25,,5.75,,5.00,
10000091,7.00,8.00,,,6.42,4.25,7.00,7.75,,7.60,
10000092,7.50,8.25,,,7.25,6.00,8.20,8.25,,8.20,
10000093,,,8.00,7.42,,,7.40,5.50,6.00,8.80,8.25
10000094,7.25,8.25,,,6.08,2.75,,7.00,,6.40,
10000095,8.25,8.25,,,7.42,5.75,6.00,8.75,,8.40,
10000096,,,7.25,5.92,,,3.20,6.25,3.25,8.40,7.25
10000097,7.00,8.00,,,6.75,5.25,6.40,8.00,,6.80,
10000098,,,6.25,7.08,,,8.80,8.00,6.25,9.00,8.75
10000099,8.25,7.50,,,6.83,4.75,7.00,6.75,,2.80,
10000100,7.25,7.50,,,7.00,6.25,4.80,8.00,,4.60,
10000101,6.25,7.50,,,5.92,4.00,5.00,8.00,,8.20,
10000102,8.00,7.75,,,8.17,8.75,7.00,7.75,,5.40,
10000103,9.50,8.25,,,9.00,9.25,5.60,8.25,,7.60,
10000104,4.25,,,,,3.50,,2.50,,2.80,
10000105,,,3.00,5.33,,,7.40,6.25,5.50,8.00,7.50
10000106,,,8.00,6.42,,,3.80,7.25,6.75,7.60,4.50
10000107,,,6.25,7.50,,,5.40,7.00,7.50,7.80,8.75
10000108,8.00,,,,,4.50,,5.00,,3.80,
10000109,5.50,,,,,2.25,,3.75,,2.20,
10000110,,,7.25,6.08,,,6.20,5.75,4.00,8.80,7.00
10000111,,,8.75,6.75,,,5.00,5.50,6.75,8.20,4.75
10000112,,,8.75,6.83,,,6.20,6.50,4.00,8.80,7.75
10000113,7.00,7.25,,,6.67,5.75,5.40,8.50,,7.20,
10000114,,,4.25,6.25,,,6.00,8.00,6.25,9.20,8.25
10000115,6.00,8.25,,,6.33,4.75,6.60,8.75,,8.60,
10000116,6.25,7.00,,,5.75,4.00,5.20,7.75,,7.40,
10000117,7.75,8.75,,,7.50,6.00,8.00,7.75,,8.20,
10000118,,,8.25,6.67,,,5.60,7.75,7.50,8.40,4.25
10000119,6.00,8.00,,,6.08,4.25,7.80,7.00,,8.60,
10000120,7.25,8.75,,,6.75,4.25,7.60,7.50,,7.80,
10000121,8.00,,,,,7.25,,4.50,,2.80,
10000122,,,9.50,6.75,,,8.00,7.25,6.25,9.00,4.50
10000123,7.25,,,,,5.00,,3.25,,6.40,
10000124,,,5.25,5.67,,,6.60,7.00,3.50,8.00,8.25
10000125,7.50,5.75,,,6.00,4.75,2.60,5.75,,4.00,
10000126,7.00,,,,,4.25,,7.00,,2.80,
10000127,6.25,,,,,3.75,,3.25,,5.20,
10000128,5.50,,,,,6.25,,3.25,,4.00,
10000129,,,6.50,5.83,,,6.40,6.50,4.75,8.00,6.25
10000130,6.50,7.75,,,6.42,5.00,9.20,8.50,,7.60,
10000131,8.50,7.25,,,7.75,7.50,6.40,7.00,,6.00,
10000132,,,5.00,6.00,,,8.40,7.75,5.00,8.00,8.00
10000133,7.00,7.50,,,6.17,4.00,3.20,6.00,,5.60,
10000134,,,4.75,6.83,,,9.40,6.50,7.25,8.60,8.50
10000135,7.75,8.75,,,7.58,6.25,8.40,8.75,,9.00,
10000136,5.50,,,,,5.25,,5.75,,5.40,
10000137,,,3.75,5.08,,,8.60,4.75,3.75,8.60,7.75
10000138,7.50,9.00,,,7.75,6.75,8.80,8.50,,8.80,
10000139,6.25,,,,,5.50,,6.00,,6.20,
10000140,6.50,7.00,,,6.17,5.00,5.80,5.75,,6.20,
10000141,7.75,7.50,,,6.25,3.50,5.20,8.25,,7.20,
10000142,6.00,,,,,4.00,,5.75,,5.20,
10000143,5.75,7.75,,,5.67,3.50,2.60,5.50,,5.80,
10000144,,,4.75,6.83,,,9.60,7.75,6.75,9.80,9.00
10000145,,,8.00,7.25,,,6.20,7.50,8.25,8.80,5.50
10000146,7.25,,,,,4.25,,8.25,,6.80,
10000147,6.75,7.75,,,6.75,5.75,2.40,5.25,,4.00,
10000148,,,5.00,6.42,,,8.80,7.75,5.50,9.00,8.75
10000149,5.50,,,,,3.00,,4.50,,4.20,
10000150,,,7.50,6.00,,,4.80,6.00,4.00,8.20,6.50
10000151,7.75,7.25,,,6.58,4.75,7.80,7.50,,7.20,
10000152,,,9.25,7.83,,,3.40,6.00,5.25,9.00,9.00
10000153,,,8.50,7.42,,,8.20,6.75,5.00,9.00,8.75
10000154,,,6.50,7.08,,,9.00,7.50,6.50,9.20,8.25
10000155,8.00,9.25,,,8.08,7.00,9.40,8.25,,8.60,
10000156,5.00,,,,,4.50,,5.00,,4.20,
10000157,6.25,7.00,,,5.67,3.75,3.80,7.50,,6.40,
10000158,6.00,,,,,3.25,,5.25,,3.00,
10000159,7.75,9.50,,,7.58,5.50,6.20,8.00,,8.40,
10000160,6.50,7.00,,,6.42,5.75,2.40,5.75,,2.80,
10000161,6.50,7.50,,,6.17,4.50,8.80,8.00,,8.80,
10000162,,,5.25,6.42,,,8.60,7.25,5.25,9.20,8.75
10000163,5.75,6.75,,,5.42,3.75,4.40,6.75,,7.00,
10000164,,,4.00,5.58,,,7.80,5.00,5.50,9.20,7.25
10000165,,,4.00,5.33,,,5.80,7.00,4.75,8.20,7.25
10000166,6.00,,,,,4.75,,6.00,,2.80,
10000167,,,7.00,7.00,,,8.40,7.50,5.75,9.20,8.25
10000168,6.75,7.50,,,6.75,6.00,9.40,8.00,,9.20,
10000169,6.00,7.00,,,6.25,5.75,6.80,5.75,,3.60,
10000170,,,8.75,6.58,,,6.00,6.00,7.50,7.20,3.50
10000171,6.75,,,,,4.00,,5.00,,6.60,
10000172,,,8.25,7.42,,,6.20,7.00,5.50,9.00,8.50
10000173,,,8.00,6.33,,,4.20,6.25,7.00,8.40,4.00
10000174,,,8.25,7.17,,,3.40,6.50,5.00,8.00,8.25
10000175,9.25,9.75,,,9.00,8.00,8.60,8.25,,9.20,
10000176,,,8.50,7.75,,,4.80,5.50,8.00,8.40,6.75
10000177,6.50,7.00,,,6.67,6.50,8.40,7.25,,7.00,
10000178,6.00,7.25,,,5.50,3.25,4.60,6.50,,7.00,
10000179,,,5.75,6.75,,,9.00,7.00,5.50,9.60,9.00
10000180,5.25,7.25,,,5.08,2.75,5.00,8.25,,5.80,
10000181,7.50,7.00,,,6.58,5.25,8.40,7.75,,6.60,
10000182,,,8.50,5.17,,,7.00,6.25,3.75,8.40,3.25
10000183,,,7.75,5.92,,,6.20,8.25,6.25,8.40,3.75
10000184,6.00,7.75,,,5.92,4.00,5.40,8.00,,5.60,
10000185,7.50,8.00,,,6.67,4.50,8.20,8.00,,8.60,
10000186,6.75,,,,,4.00,,3.25,,3.20,
10000187,6.50,,,,,3.00,,4.00,,4.00,
10000188,4.50,,,,,2.75,,5.25,,3.40,
10000189,6.25,,,,,3.00,,6.25,,4.80,
10000190,8.25,9.25,,,8.08,6.75,9.60,8.25,,8.40,
10000191,7.50,7.50,,,6.83,5.50,6.40,8.50,,8.60,
10000192,,,3.75,4.75,,,7.60,6.25,3.25,8.60,7.25
10000193,6.50,7.50,,,7.33,8.00,4.80,7.50,,6.60,
10000194,8.00,10.00,,,8.17,6.50,6.40,8.75,,7.60,
10000195,8.25,8.25,,,8.33,8.50,3.60,8.25,,5.40,
10000196,7.25,7.50,,,6.67,5.25,2.20,7.25,,5.00,
10000197,7.75,7.50,,,6.83,5.25,5.40,4.50,,5.80,
10000198,7.25,7.25,,,6.58,5.25,8.00,6.50,,7.40,
10000199,,,6.50,6.75,,,8.60,7.75,5.25,9.00,8.50
10000200,,,8.50,7.08,,,4.80,6.25,8.00,8.80,4.75
10000201,6.75,,,,,4.25,,4.50,,7.00,
10000202,6.50,8.00,,,5.75,2.75,4.00,7.50,,6.80,
10000203,7.75,8.00,,,7.67,7.25,8.40,7.00,,8.40,
10000204,8.00,8.50,,,6.42,2.75,5.80,6.25,,8.00,
10000205,,,4.50,6.00,,,8.00,6.00,5.00,9.00,8.50
10000206,7.50,,,,,5.00,,4.00,,5.80,
10000207,6.50,,,,,4.00,,4.75,,5.60,
10000208,7.50,8.25,,,7.25,6.00,9.00,8.50,,9.00,
10000209,5.00,,,,,3.50,,4.00,,4.00,
10000210,9.25,8.75,,,8.50,7.50,2.80,8.00,,7.00,
10000211,,,8.00,5.25,,,8.80,7.00,4.25,8.80,3.50
10000212,7.50,7.50,,,6.58,4.75,3.00,7.25,,5.20,
10000213,8.50,8.50,,,7.58,5.75,9.00,8.75,,8.20,
10000214,8.00,8.50,,,8.17,8.00,4.60,8.50,,7.60,
10000215,,,9.00,7.42,,,5.80,7.75,7.50,9.00,5.75
10000216,,,6.25,6.17,,,8.40,8.00,4.00,9.60,8.25
10000217,,,6.50,7.17,,,7.00,7.25,6.75,8.80,8.25
10000218,7.50,7.25,,,6.58,5.00,7.60,7.75,,8.80,
10000219,9.00,8.25,,,7.33,4.75,4.40,6.50,,5.80,
10000220,6.00,,,,,4.25,,7.75,,4.00,
10000221,7.00,7.00,,,5.67,3.00,1.60,3.75,,2.80,
10000222,6.50,8.25,,,6.92,6.00,7.80,7.75,,8.40,
