27000001,7.50,9.00,,,7.92,7.25,3.00,5.25,,7.60,
27000002,7.25,9.25,,,8.58,9.25,6.40,7.50,,8.60,
27000003,8.50,9.25,,,9.00,9.25,3.40,8.00,,6.60,
27000004,,,8.00,6.08,,,4.00,6.25,4.00,8.00,6.25
27000005,8.00,9.00,,,7.42,5.25,4.00,6.25,,6.00,
27000006,5.50,7.50,,,6.58,6.75,3.60,5.25,,3.20,
27000007,8.25,9.50,,,8.92,9.00,5.60,8.25,,8.20,
27000008,8.25,8.75,,,7.83,6.50,2.60,6.00,,8.00,
27000009,,,6.50,5.67,,,4.80,7.75,4.50,7.40,6.00
27000010,8.00,8.50,,,8.00,7.50,4.40,8.00,,5.60,
27000011,8.75,9.50,,,8.50,7.25,5.40,7.00,,7.40,
27000012,7.00,7.75,,,6.67,5.25,4.20,6.50,,5.00,
27000013,,,8.75,8.50,,,6.20,7.75,8.75,9.60,8.00
27000014,7.75,8.00,,,6.58,4.00,3.40,7.00,,5.40,
27000015,8.50,9.75,,,8.00,5.75,4.20,7.50,,7.00,
27000016,6.75,9.25,,,7.33,6.00,6.00,8.50,,7.80,
27000017,9.00,9.00,,,9.00,9.00,3.20,8.25,,7.80,
27000018,7.00,8.75,,,7.75,7.50,5.00,8.25,,7.00,
27000019,8.25,9.00,,,7.50,5.25,3.00,7.50,,5.80,
27000020,9.25,8.50,,,8.83,8.75,4.40,8.75,,7.40,
27000021,,,6.25,6.50,,,8.40,7.75,5.50,8.00,7.75
27000022,,,6.00,5.42,,,5.40,7.00,3.50,8.00,6.75
27000023,8.75,9.25,,,9.00,9.00,3.60,8.75,,6.00,
27000024,,,7.75,7.00,,,3.80,6.00,5.75,8.80,7.50
27000025,7.00,9.00,,,7.50,6.50,4.60,6.75,,8.80,
27000026,,,7.50,7.33,,,5.00,6.25,6.50,8.60,8.00
27000027,5.75,8.50,,,6.42,5.00,4.60,7.25,,6.60,
27000028,7.50,7.25,,,7.08,6.50,3.40,8.00,,6.40,
27000029,7.75,8.75,,,6.67,3.50,3.40,5.50,,6.40,
27000030,9.25,8.50,,,8.83,8.75,3.60,8.50,,5.00,
27000031,,,6.50,6.75,,,7.80,6.25,6.25,9.20,7.50
27000032,9.25,9.00,,,9.17,9.25,3.80,7.50,,7.60,
27000033,,,8.50,6.83,,,4.40,7.00,4.50,9.40,7.50
27000034,9.25,8.75,,,8.83,8.50,2.60,7.75,,6.20,
27000035,9.00,9.50,,,8.92,8.25,5.20,8.00,,6.60,
27000036,6.75,9.25,,,6.83,4.50,2.60,6.50,,7.40,
27000037,9.00,9.00,,,8.92,8.75,3.60,7.25,,7.00,
27000038,7.00,9.50,,,7.08,4.75,5.60,5.25,,7.00,
27000039,,,5.75,6.17,,,7.40,8.00,3.75,9.20,9.00
27000040,8.50,8.50,,,8.42,8.25,3.20,6.25,,3.60,
27000041,5.50,8.00,,,5.75,3.75,3.40,6.25,,4.80,
27000042,,,8.75,7.00,,,5.40,7.00,6.75,8.60,5.50
27000043,8.00,8.25,,,6.92,4.50,5.00,6.50,,7.60,
27000044,,,5.50,6.42,,,8.20,5.75,6.00,8.80,7.75
27000045,,,,,,,,8.25,,,
27000046,7.75,8.50,,,8.33,8.75,2.80,8.50,,6.00,
27000047,,,6.75,7.58,,,8.20,7.50,6.50,9.00,9.50
27000048,,,5.50,5.42,,,3.40,7.50,5.25,6.20,5.50
27000049,7.50,9.75,,,8.50,8.25,3.80,6.50,,6.80,
27000050,6.25,8.50,,,7.33,7.25,5.00,7.75,,8.00,
27000051,7.25,9.75,,,8.83,9.50,5.40,7.75,,7.80,
27000052,,,5.25,5.17,,,4.20,6.75,4.50,7.80,5.75
27000053,,,9.25,8.33,,,4.80,6.00,7.00,9.00,8.75
27000054,8.25,8.75,,,8.58,8.75,4.60,8.00,,7.00,
27000055,8.25,8.25,,,7.42,5.75,7.20,8.00,,8.20,
27000056,,,9.25,8.08,,,4.20,7.50,6.00,9.20,9.00
27000057,,,8.25,6.92,,,2.60,6.00,4.75,8.60,7.75
27000058,,,6.00,5.50,,,6.60,7.00,4.50,7.20,6.00
27000059,8.50,8.75,,,8.25,7.50,3.40,7.00,,6.20,
27000060,7.50,7.50,,,7.00,6.00,2.60,6.25,,5.60,
27000061,7.50,8.75,,,7.75,7.00,4.20,6.25,,8.40,
27000062,7.00,9.75,,,8.33,8.25,2.80,6.75,,8.00,
27000063,8.25,9.25,,,8.92,9.25,4.40,6.50,,6.00,
27000064,7.25,8.50,,,7.92,8.00,3.20,7.25,,6.20,
27000065,7.75,6.25,,,6.33,5.00,4.00,6.25,,7.60,
27000066,,,7.25,7.33,,,5.40,6.50,7.25,8.60,7.50
