35000001,,,7.25,6.08,,,3.60,7.50,4.25,8.60,6.75
35000002,9.25,9.25,,,9.25,9.25,7.00,9.25,,7.40,
35000003,6.00,8.25,,,5.67,2.75,6.40,7.75,,6.80,
35000004,6.00,8.00,,,6.58,5.75,6.00,7.50,,8.20,
35000005,,,7.50,5.83,,,2.40,7.50,5.25,8.00,4.75
35000006,,,8.00,6.50,,,5.80,6.75,4.00,9.00,7.50
35000007,7.25,8.25,,,6.58,4.25,4.40,7.50,,8.00,
35000008,6.75,6.50,,,5.58,3.50,3.60,7.25,,5.60,
35000009,7.25,7.75,,,6.17,3.50,5.00,8.25,,6.40,
35000010,7.00,,,,,4.50,,4.00,,3.00,
35000011,,,5.75,6.00,,,4.80,7.00,4.25,8.00,8.00
35000012,,,7.25,6.67,,,4.20,6.25,5.25,7.60,7.50
35000013,5.50,,,,,4.00,,5.25,,4.40,
35000014,,,8.50,7.83,,,5.60,6.25,6.50,9.00,8.50
35000015,,,6.75,6.08,,,5.80,6.25,5.25,7.20,6.25
35000016,,,6.00,5.83,,,4.00,6.50,4.75,7.20,6.75
35000017,,,8.25,7.17,,,7.00,7.50,4.50,9.20,8.75
35000018,,,8.50,7.58,,,6.80,6.25,8.75,9.00,5.50
35000019,7.00,4.50,,,5.00,3.50,3.00,6.00,,4.60,
35000020,,,5.75,5.33,,,3.00,6.75,6.25,7.80,4.00
35000021,8.00,8.50,,,6.58,3.25,5.00,6.75,,6.80,
35000022,5.75,8.50,,,6.17,4.25,4.80,6.75,,7.20,
35000023,6.50,7.25,,,5.58,3.00,3.40,6.75,,4.40,
35000024,7.50,7.75,,,6.75,5.00,3.00,6.75,,6.60,
35000025,,,8.25,7.42,,,4.40,6.25,5.25,8.00,8.75
35000026,3.25,,,,,5.00,,0.50,,2.20,
35000027,,,6.50,5.83,,,5.20,6.75,5.50,7.40,5.50
35000028,,,8.75,7.17,,,5.00,6.00,5.50,9.00,7.25
35000029,,,7.50,6.83,,,3.40,5.75,6.00,7.60,7.00
35000030,,,3.25,3.08,,,3.80,5.75,2.50,4.60,3.50
35000031,,,7.50,6.50,,,6.20,7.50,4.00,8.80,8.00
35000032,7.50,8.50,,,6.67,4.00,6.60,8.25,,8.80,
35000033,,,8.00,6.67,,,2.80,4.25,4.75,8.20,7.25
35000034,,,7.00,6.75,,,4.20,6.25,6.25,7.20,7.00
35000035,8.50,9.00,,,8.33,7.50,2.60,7.25,,7.20,
35000036,6.25,8.75,,,6.50,4.50,4.40,7.00,,5.00,
35000037,,,6.50,6.08,,,4.60,7.50,6.25,6.60,5.50
35000038,,,7.75,6.92,,,4.00,7.25,5.75,8.80,7.25
35000039,7.75,9.75,,,8.00,6.50,5.00,7.75,,8.20,
35000040,,,6.00,6.17,,,5.40,8.00,5.50,7.40,7.00
35000041,,,8.25,7.50,,,4.40,6.25,7.50,8.40,6.75
35000042,6.00,8.00,,,6.25,4.75,3.00,6.50,,7.20,
35000043,3.75,,,,,6.25,,4.00,,,
35000044,,,5.50,5.50,,,3.80,7.00,4.75,6.20,6.25
35000045,,,7.75,6.50,,,5.40,6.00,5.75,8.40,6.00
35000046,6.75,7.75,,,6.17,4.00,3.60,7.00,,4.00,
35000047,5.75,7.75,,,6.08,4.75,1.80,6.25,,6.80,
35000049,6.50,8.00,,,6.33,4.50,6.80,7.75,,7.80,
35000050,,,,,,8.25,7.40,8.50,,,
35000051,,,7.75,7.58,,,5.40,7.50,8.50,8.80,6.50
35000052,7.25,8.50,,,7.33,6.25,5.20,7.75,,6.80,
35000053,,,7.00,6.08,,,5.00,6.50,5.00,8.00,6.25
35000054,,,7.75,6.25,,,3.40,6.50,3.75,8.40,7.25
35000055,,,7.00,6.08,,,7.80,6.75,4.00,8.20,7.25
35000056,,,8.50,7.33,,,4.20,6.75,6.50,8.80,7.00
35000057,,,7.50,6.83,,,7.20,3.50,6.00,7.60,7.00
35000058,,,5.75,6.08,,,2.20,6.50,5.50,7.60,7.00
