59000001,,,4.25,4.83,,,4.20,7.75,4.75,5.60,5.50
59000002,,,5.00,4.67,,,5.00,9.00,5.00,8.00,4.00
59000003,8.25,8.50,,,7.75,6.50,8.40,8.75,,8.60,
59000004,7.50,9.25,,,7.33,5.25,8.40,8.75,,7.40,
59000005,,,8.00,6.75,,,6.00,8.75,7.25,9.40,5.00
59000006,7.75,8.75,,,8.33,8.50,7.60,8.25,,5.20,
59000007,,,6.25,6.08,,,8.20,5.50,5.50,8.60,6.50
59000008,,,7.75,5.42,,,8.80,8.75,4.50,9.00,4.00
59000009,,,6.50,6.42,,,4.40,7.75,6.75,8.20,6.00
59000010,,,8.75,7.67,,,6.80,8.00,7.50,9.20,6.75
59000011,8.00,9.00,,,7.42,5.25,8.80,8.75,,7.40,
59000012,,,8.75,7.42,,,4.60,8.00,8.75,9.40,4.75
59000013,,,8.75,7.42,,,4.40,8.00,8.25,8.60,5.25
59000014,7.75,9.75,,,8.00,6.50,8.00,8.50,,9.00,
59000015,8.50,8.75,,,8.92,9.50,8.40,8.50,,7.60,
59000016,,,7.50,7.33,,,8.40,8.50,6.00,9.20,8.50
59000017,7.00,8.25,,,6.92,5.50,7.20,9.25,,8.00,
59000018,6.75,9.25,,,8.25,8.75,8.40,9.50,,7.20,
59000019,6.25,7.50,,,6.08,4.50,8.20,9.25,,8.40,
59000020,9.00,9.00,,,8.08,6.25,6.20,8.75,,8.40,
59000021,,,6.75,6.75,,,9.00,8.50,5.50,8.20,8.00
59000022,,,6.75,6.08,,,8.20,6.75,3.75,8.80,7.75
59000023,,,7.75,7.50,,,9.00,7.75,7.00,8.20,7.75
59000024,,,6.75,5.58,,,4.60,7.00,4.75,7.20,5.25
59000025,,,9.50,8.50,,,5.60,7.50,8.75,9.60,7.25
59000026,,,8.50,7.92,,,,8.00,7.25,8.80,8.00
59000027,,,7.00,7.17,,,8.20,8.50,6.75,9.00,7.75
59000028,,,4.75,5.17,,,3.00,8.00,5.00,7.00,5.75
59000029,,,6.50,6.42,,,8.40,8.75,6.25,8.80,6.50
59000030,,,9.00,8.00,,,5.80,8.75,8.00,8.80,7.00
59000031,,,6.50,6.33,,,6.80,7.50,5.25,8.40,7.25
59000032,7.50,7.75,,,6.42,4.00,2.00,7.50,,7.00,
59000033,,,8.50,7.58,,,6.00,7.50,8.50,8.20,5.75
59000034,5.75,9.00,,,5.92,3.00,3.20,7.50,,6.60,
59000035,7.50,8.25,,,6.50,3.75,8.60,7.00,,8.20,
59000036,,,9.00,7.75,,,4.40,7.50,6.00,9.00,8.25
59000037,6.25,8.25,,,6.25,4.25,6.80,9.50,,7.80,
59000038,5.00,6.75,,,4.83,2.75,3.00,6.75,,5.00,
59000039,6.75,8.75,,,6.83,5.00,3.20,7.00,,6.60,
59000040,8.00,9.50,,,7.92,6.25,2.60,6.75,,5.60,
59000041,,,6.25,4.75,,,5.60,7.75,3.50,7.00,4.50
59000042,5.75,8.00,,,5.92,4.00,3.20,7.00,,4.00,
59000043,,,8.75,6.00,,,6.60,7.50,4.00,8.00,5.25
59000044,8.50,7.75,,,6.67,3.75,2.20,7.00,,7.40,
59000045,,,4.75,5.42,,,8.40,7.00,6.00,7.40,5.50
59000046,,,5.50,6.25,,,6.80,6.58,7.00,8.60,6.25
59000047,5.25,5.75,,,5.50,5.50,2.60,6.25,,3.20,
59000048,,,7.50,6.75,,,4.60,8.75,7.75,7.40,5.00
59000049,8.00,8.00,,,7.58,6.75,8.00,8.50,,8.20,
59000050,7.50,8.25,,,6.17,2.75,3.60,7.75,,7.20,
59000051,,,5.50,6.08,,,7.20,8.50,5.00,8.40,7.75
59000052,,,6.25,6.25,,,3.80,7.00,6.00,7.00,6.50
59000053,6.25,7.25,,,6.08,4.75,2.80,5.00,,5.00,
59000054,,,5.75,5.08,,,3.80,8.25,4.00,7.60,5.50
59000055,,,7.50,6.92,,,5.20,6.50,7.00,8.80,6.25
59000056,,,3.50,5.08,,,4.40,8.00,4.50,7.80,7.25
59000057,,,7.00,6.83,,,9.00,8.00,4.50,8.80,9.00
59000058,,,9.00,7.58,,,6.00,5.50,8.75,8.40,5.00
59000059,,,7.00,5.42,,,6.40,9.00,6.75,7.00,2.50
59000060,,,6.75,6.50,,,8.80,9.00,5.25,8.60,7.50
59000061,,,6.50,6.50,,,8.80,7.75,6.00,7.60,7.00
59000062,,,6.75,6.67,,,5.40,8.50,7.75,8.20,5.50
59000063,,,7.00,7.25,,,8.00,7.75,7.00,8.00,7.75
59000064,,,8.25,6.92,,,5.00,7.50,6.25,8.20,6.25
59000065,,,8.00,7.17,,,5.20,7.75,7.25,8.60,6.25
59000066,,,6.50,6.75,,,8.60,7.50,5.75,8.40,8.00
59000067,,,8.25,7.00,,,5.00,7.00,4.50,9.60,8.25
59000068,7.25,9.25,,,7.08,4.75,3.00,7.75,,6.80,
59000069,,,5.00,5.67,,,4.80,6.75,5.00,7.80,7.00
59000070,5.25,9.00,,,6.08,4.00,3.00,7.50,,7.20,
59000071,,,8.75,8.08,,,8.00,7.00,8.00,9.60,7.50
59000072,,,7.00,7.17,,,7.80,7.00,6.00,9.20,8.50
59000073,,,7.25,7.83,,,8.60,8.25,7.00,8.60,9.25
59000074,,,8.25,7.00,,,5.20,7.00,4.50,9.00,8.25
59000075,,,5.00,5.08,,,6.60,8.75,6.00,7.20,4.25
59000076,,,9.00,7.00,,,4.60,5.00,4.50,9.40,7.50
59000077,6.25,7.25,,,5.83,4.00,4.20,6.00,,4.40,
59000078,6.00,7.50,,,5.67,3.50,2.20,8.25,,5.20,
59000079,,,7.50,5.33,,,7.60,7.75,4.75,8.40,3.75
59000080,6.50,8.00,,,6.25,4.25,3.20,7.25,,7.00,
59000081,7.75,9.00,,,7.17,4.75,6.60,7.75,,7.60,
59000082,7.00,8.50,,,7.08,5.75,9.20,8.50,,8.40,
59000083,,,6.75,7.58,,,8.40,8.00,7.50,8.80,8.50
59000084,7.25,8.75,,,7.50,6.50,8.60,8.75,,8.00,
59000085,6.00,7.00,,,5.83,4.50,6.60,9.25,,6.80,
59000086,,,6.50,6.83,,,8.20,8.50,5.75,8.60,8.25
59000087,,,6.00,6.25,,,3.80,8.00,7.50,7.80,5.25
59000088,,,5.75,5.92,,,3.60,8.00,5.50,7.20,6.50
59000089,6.50,8.75,,,6.75,5.00,5.20,8.50,,7.20,
59000090,7.00,7.00,,,6.17,4.50,6.40,8.50,,8.00,
59000091,,,6.00,5.58,,,3.80,7.50,6.00,7.80,4.75
59000092,6.25,8.25,,,6.42,4.75,9.40,8.00,,7.80,
59000093,,,8.00,6.92,,,7.80,8.25,8.25,8.60,4.50
59000094,6.50,8.00,,,6.25,4.25,7.40,8.75,,8.60,
59000095,,,7.75,6.42,,,7.80,7.75,3.50,8.60,8.00
59000096,,,7.75,6.42,,,6.00,8.25,8.75,8.80,2.75
59000097,8.50,9.00,,,8.08,6.75,8.20,7.50,,8.80,
59000098,,,6.00,5.08,,,8.60,8.00,6.00,8.60,3.25
59000099,6.50,8.50,,,6.42,4.25,5.40,7.00,,8.20,
59000100,7.00,8.75,,,6.92,5.00,3.40,6.75,,6.00,
59000101,8.25,7.75,,,7.92,7.75,7.40,7.75,,6.00,
59000102,8.00,8.50,,,7.17,5.00,2.80,6.50,,6.40,
59000103,,,5.75,5.75,,,7.60,7.00,4.25,8.00,7.25
59000104,5.50,7.50,,,7.33,9.00,6.60,9.00,,5.00,
59000105,,,9.00,7.92,,,6.20,7.00,6.50,9.00,8.25
59000106,,,8.75,7.83,,,6.40,8.25,9.25,9.00,5.50
59000107,6.50,8.75,,,6.08,3.00,2.60,7.00,,6.40,
59000108,6.50,8.00,,,6.42,4.75,2.80,8.00,,7.60,
59000109,7.00,9.00,,,6.75,4.25,3.80,7.00,,6.60,
59000110,,,8.25,7.08,,,5.60,8.50,7.75,8.60,5.25
59000111,,,9.00,8.08,,,6.20,7.33,6.25,9.20,9.00
59000112,,,8.00,6.67,,,4.20,7.50,8.25,8.60,3.75
59000113,,,7.75,6.33,,,3.20,6.50,7.25,8.40,4.00
59000114,,,7.00,6.83,,,9.00,8.00,5.00,8.80,8.50
59000115,7.50,8.50,,,6.75,4.25,2.40,7.25,,6.60,
59000116,8.00,9.25,,,8.17,7.25,5.20,8.25,,7.20,
59000117,,,8.00,7.83,,,6.20,8.75,9.00,9.40,6.50
59000118,,,7.50,6.67,,,7.00,7.75,5.50,9.00,7.00
59000119,,,8.75,7.42,,,4.00,8.75,7.25,8.80,6.25
59000120,6.75,7.25,,,5.83,3.50,2.80,7.50,,6.00,
59000121,7.25,7.75,,,6.42,4.25,3.40,7.75,,6.60,
59000122,,,8.75,7.75,,,8.20,9.00,6.75,8.80,7.75
59000123,6.75,7.75,,,6.08,3.75,3.20,7.75,,4.80,
59000124,,,8.00,7.17,,,8.60,9.00,5.00,8.80,8.50
59000125,,,8.00,8.08,,,9.40,8.00,7.00,9.40,9.25
59000126,7.50,8.50,,,7.58,6.75,8.80,8.00,,9.00,
59000127,,,8.75,7.08,,,5.60,6.75,4.75,8.40,7.75
59000128,6.25,8.00,,,6.75,6.00,7.40,7.75,,7.20,
59000129,,,8.00,6.67,,,4.60,5.75,4.50,8.60,7.50
59000130,6.50,9.50,,,7.25,5.75,3.40,6.75,,7.00,
59000131,,,7.00,5.50,,,4.20,8.00,6.75,7.80,2.75
59000132,6.50,8.25,,,6.75,5.50,6.60,6.25,,6.40,
59000133,8.25,9.25,,,8.33,7.50,5.40,8.75,,7.80,
59000134,,,9.00,7.17,,,7.20,5.50,8.50,9.60,4.00
59000135,,,7.75,7.92,,,5.00,7.75,9.75,8.40,6.25
59000136,,,5.50,6.33,,,8.00,6.50,5.00,8.00,8.50
59000137,,,9.25,8.83,,,8.20,8.00,9.75,9.80,7.50
59000138,,,8.50,7.33,,,6.00,7.75,7.75,9.40,5.75
59000139,,,8.50,7.92,,,9.40,8.00,8.25,8.40,7.00
59000140,6.75,8.25,,,6.50,4.50,7.00,8.50,,6.40,
59000141,,,8.50,6.92,,,6.80,7.75,4.75,8.80,7.50
59000142,,,7.50,7.17,,,9.20,9.25,7.00,9.00,7.00
59000143,6.25,7.75,,,6.25,4.75,3.40,6.75,,5.60,
59000144,,,8.75,7.75,,,5.80,8.50,6.00,9.40,8.50
59000145,,,3.75,4.83,,,3.00,7.25,4.75,6.20,6.00
59000146,,,8.00,7.00,,,8.40,8.75,4.75,9.00,8.25
59000147,,,9.00,7.33,,,6.60,7.75,7.00,9.00,6.00
59000148,6.75,8.75,,,6.58,4.25,3.20,7.50,,7.00,
59000149,,,6.25,5.67,,,4.40,6.75,7.25,7.80,3.50
59000150,,,9.00,7.92,,,7.80,9.00,5.50,9.40,9.25
59000151,8.50,8.25,,,7.50,5.75,7.00,7.00,,8.00,
59000152,,,7.75,7.17,,,5.20,6.75,6.25,8.80,7.50
59000153,4.50,7.00,,,4.58,2.25,1.80,6.50,,5.60,
59000154,,,7.75,6.75,,,4.80,6.25,7.50,8.80,5.00
59000155,,,7.50,6.17,,,8.80,8.50,4.00,9.40,7.00
59000156,,,4.00,3.92,,,5.20,5.50,4.75,7.00,3.00
59000157,,,8.00,6.83,,,7.80,6.50,4.50,8.20,8.00
59000158,,,7.00,5.83,,,7.20,8.50,5.75,8.40,4.75
59000159,,,8.25,7.00,,,5.00,8.00,6.75,8.80,6.00
59000160,7.00,8.25,,,6.58,4.50,8.20,7.50,,6.80,
59000161,,,8.00,5.92,,,4.40,8.50,6.50,8.40,3.25
59000162,5.50,7.50,,,5.33,3.00,1.40,8.25,,7.60,
59000163,,,8.75,7.92,,,5.80,8.50,8.75,8.60,6.25
59000164,6.25,8.00,,,6.58,5.50,8.40,9.00,,8.60,
59000165,,,8.25,7.92,,,9.00,8.00,8.25,9.00,7.25
59000166,,,8.00,7.25,,,5.20,8.50,7.75,7.80,6.00
59000167,5.50,7.75,,,5.83,4.25,2.80,7.00,,5.80,
59000168,,,9.00,7.58,,,6.00,8.50,8.75,9.60,5.00
59000169,5.25,6.25,,,4.67,2.50,2.20,7.50,,6.60,
59000170,,,9.25,8.08,,,8.20,6.75,7.75,9.60,7.25
