16000001,,,9.25,7.25,,,5.40,6.75,8.00,9.00,4.50
16000002,9.00,9.50,,,8.42,6.75,7.00,8.00,,8.20,
16000003,7.50,9.00,,,7.42,5.75,8.60,8.25,,7.40,
16000004,,,9.00,7.83,,,6.20,7.50,6.75,8.80,7.75
16000005,,,9.75,9.17,,,7.20,8.00,8.75,9.60,9.00
16000006,,,8.75,7.92,,,7.40,7.50,9.25,8.00,5.75
16000007,,,8.75,7.92,,,6.40,7.75,6.50,8.80,8.50
16000008,,,8.25,8.00,,,5.20,7.75,6.75,9.20,9.00
16000009,9.25,10.00,,,9.42,9.00,5.40,8.50,,8.40,
16000010,8.25,9.75,,,8.50,7.50,9.00,8.50,,9.00,
16000011,,,9.00,8.08,,,5.80,8.25,7.00,8.80,8.25
16000012,9.75,9.50,,,9.58,9.50,4.60,8.50,,8.40,
16000013,,,9.25,8.42,,,6.00,7.25,8.75,9.00,7.25
16000014,8.50,9.75,,,9.00,8.75,9.40,8.75,,9.00,
16000015,7.75,9.50,,,7.58,5.50,7.00,9.00,,9.00,
16000016,7.50,8.50,,,7.67,7.00,9.20,9.00,,8.60,
16000017,,,6.50,7.42,,,9.20,7.00,6.75,8.60,9.00
16000018,,,8.00,6.58,,,7.80,8.50,5.25,9.00,6.50
16000019,,,8.75,7.75,,,6.60,8.00,6.50,9.20,8.00
16000020,,,9.50,8.17,,,7.00,7.25,6.50,9.00,8.50
16000021,8.75,9.75,,,8.50,7.00,8.40,9.00,,8.20,
16000022,9.00,8.75,,,8.92,9.00,3.00,7.50,,6.00,
16000023,,,6.50,7.08,,,8.40,6.75,6.50,9.40,8.25
16000024,,,8.75,7.67,,,5.00,7.00,5.50,9.40,8.75
16000025,,,8.75,7.08,,,6.00,7.00,7.25,8.20,5.25
16000026,6.75,8.00,,,6.42,4.50,5.60,8.25,,7.00,
16000027,7.50,8.75,,,7.75,7.00,8.80,8.25,,8.40,
16000028,,,9.25,8.42,,,6.20,7.00,8.75,8.80,7.25
16000029,,,9.00,7.67,,,6.60,6.50,5.50,8.20,8.50
16000030,7.25,8.50,,,7.92,8.00,,8.00,,7.60,
16000031,8.50,9.50,,,8.42,7.25,8.40,8.75,,8.40,
16000032,,,8.00,7.08,,,6.60,7.75,6.00,8.80,7.25
16000033,7.75,9.75,,,8.50,8.00,9.00,9.00,,9.40,
16000034,7.50,8.75,,,7.42,6.00,8.60,8.50,,8.60,
16000035,7.75,9.75,,,8.08,6.75,7.00,9.00,,8.60,
16000036,6.00,9.00,,,6.58,4.75,8.40,8.25,,7.80,
16000037,,,9.25,8.25,,,6.00,8.00,8.75,8.80,6.75
16000038,7.50,9.00,,,8.00,7.50,9.00,8.75,,8.60,
16000039,7.25,8.50,,,7.00,5.25,8.80,8.50,,9.40,
16000040,8.00,9.25,,,7.92,6.50,8.60,8.75,,9.00,
16000041,8.25,8.50,,,8.50,8.75,8.80,8.00,,8.20,
16000042,9.00,9.50,,,9.25,9.25,6.20,7.75,,8.00,
16000043,,,6.50,7.58,,,8.40,7.25,6.50,10.00,9.75
16000044,,,6.25,6.42,,,,7.75,5.50,9.00,7.50
16000045,,,8.25,7.33,,,8.20,8.50,7.25,8.60,6.50
16000046,,,8.75,8.08,,,6.00,8.00,8.50,9.20,7.00
16000047,8.50,9.00,,,8.25,7.25,8.60,8.75,,9.00,
16000048,9.25,9.25,,,8.50,7.00,5.80,8.75,,7.60,
16000049,7.50,9.25,,,7.83,6.75,8.80,8.75,,8.60,
16000050,7.50,9.50,,,8.25,7.75,9.40,8.75,,8.20,
16000051,8.25,9.00,,,7.67,5.75,9.20,8.50,,8.40,
16000052,,,8.25,7.67,,,6.00,7.25,6.75,8.40,8.00
16000053,8.75,9.00,,,8.83,8.75,10.00,8.25,,8.40,
16000054,,,9.75,9.08,,,8.40,6.50,8.75,9.40,8.75
16000055,,,8.00,7.00,,,5.60,5.75,5.25,8.00,7.75
16000056,,,9.00,7.42,,,6.80,6.00,4.75,9.20,8.50
16000057,,,9.00,8.42,,,4.80,8.00,8.50,9.40,7.75
16000058,,,8.75,7.83,,,5.60,8.50,6.25,9.20,8.50
16000059,,,8.00,6.83,,,6.00,7.25,6.00,7.40,6.50
16000060,,,6.00,6.58,,,9.00,8.50,5.75,9.00,8.00
16000061,8.75,9.50,,,9.17,9.25,9.40,8.50,,9.40,
16000062,,,9.75,8.67,,,7.20,7.75,6.75,9.40,9.50
16000063,,,6.50,6.58,,,7.60,7.00,6.00,8.80,7.25
16000064,,,9.50,8.67,,,6.60,7.50,7.50,9.60,9.00
16000065,,,9.25,8.33,,,,7.50,7.75,9.00,8.00
16000066,,,9.25,8.58,,,6.40,7.00,9.25,9.40,7.25
16000067,,,8.00,7.08,,,5.00,7.25,5.75,8.60,7.50
16000068,,,9.75,9.25,,,7.00,7.75,8.50,9.20,9.50
16000069,,,6.75,7.42,,,8.80,6.75,7.00,9.40,8.50
16000070,,,9.25,8.33,,,6.40,7.75,6.75,9.00,9.00
16000071,10.00,9.75,,,9.58,9.00,5.40,9.00,,7.80,
16000072,8.00,8.25,,,8.58,9.50,6.40,8.75,,4.00,
16000073,7.00,9.50,,,7.58,6.25,7.80,7.75,,9.00,
16000074,,,6.75,7.00,,,8.40,6.50,6.75,9.00,7.50
16000075,8.25,9.00,,,7.42,5.00,8.00,8.50,,8.20,
16000076,9.75,9.25,,,8.58,6.75,,7.00,,7.20,
16000077,8.25,9.25,,,8.50,8.00,9.40,8.75,,8.20,
16000078,,,5.75,6.58,,,7.40,7.50,6.75,8.40,7.25
16000079,,,9.00,7.50,,,6.40,7.50,5.75,8.40,7.75
16000080,7.75,9.75,,,8.00,6.50,9.20,8.50,,9.00,
16000081,8.25,10.00,,,8.67,7.75,8.00,8.25,,8.80,
16000082,8.25,9.50,,,8.58,8.00,,8.00,,9.00,
16000083,,,7.75,8.25,,,9.00,8.00,8.00,9.40,9.00
16000085,,,7.50,7.42,,,6.60,8.50,6.00,8.60,8.75
16000086,,,9.00,8.08,,,5.40,8.50,9.50,9.20,5.75
16000087,,,9.00,8.33,,,6.20,7.75,7.00,9.20,9.00
16000088,,,3.00,4.92,,,9.60,6.00,3.75,8.60,8.00
16000090,,,9.50,8.08,,,6.00,7.00,5.75,9.80,9.00
16000091,,,6.50,7.00,,,5.40,8.00,6.50,8.20,8.00
16000092,,,9.00,8.50,,,8.80,7.00,7.75,8.80,8.75
16000093,9.25,9.00,,,9.17,9.25,5.00,7.75,,6.20,
16000094,,,8.50,8.00,,,8.40,6.00,7.75,8.80,7.75
16000095,,,8.75,7.25,,,5.80,6.50,4.75,9.40,8.25
16000096,7.75,9.50,,,8.50,8.25,9.40,7.00,,8.00,
16000097,,,7.75,8.58,,,9.20,7.00,8.25,9.80,9.75
16000098,,,8.25,7.50,,,8.80,8.00,6.75,9.20,7.50
16000099,8.75,9.00,,,8.25,7.00,9.00,8.50,,8.80,
16000100,,,8.75,8.33,,,6.80,8.00,8.75,9.00,7.50
16000101,,,7.00,6.75,,,8.40,7.25,7.25,9.40,6.00
16000102,,,9.00,8.08,,,7.60,7.75,8.75,9.80,6.50
16000103,8.75,9.50,,,9.25,9.50,4.60,8.00,,7.00,
16000104,9.75,9.50,,,9.00,7.75,7.00,8.25,,8.20,
16000105,7.00,8.75,,,6.92,5.00,7.40,8.50,,8.40,
16000106,8.75,9.75,,,9.08,8.75,9.20,8.25,,8.40,
16000107,,,9.00,8.25,,,7.80,8.25,9.75,8.40,6.00
16000108,,,9.00,8.67,,,7.40,8.50,9.50,9.60,7.50
16000109,,,8.00,7.58,,,9.00,8.50,5.25,8.80,9.50
16000110,8.75,9.25,,,8.58,7.75,9.40,9.25,,8.80,
16000111,7.25,9.75,,,7.67,6.00,8.00,8.50,,9.60,
16000112,8.50,8.75,,,7.67,5.75,8.40,8.75,,8.60,
16000113,,,8.00,6.75,,,9.20,8.00,5.00,9.20,7.25
16000114,,,8.75,7.92,,,6.00,6.50,6.25,8.40,8.75
16000115,,,9.00,7.83,,,7.40,6.75,5.75,9.20,8.75
16000116,,,8.50,6.42,,,7.60,7.25,4.25,9.00,6.50
16000117,,,8.75,7.58,,,6.60,6.25,6.75,8.00,7.25
16000118,8.50,9.75,,,9.08,9.00,8.60,7.25,,8.40,
16000119,,,8.00,7.67,,,7.60,7.50,7.75,8.80,7.25
16000120,7.75,9.25,,,8.33,8.00,9.20,8.50,,9.00,
16000121,8.00,9.25,,,7.58,5.50,8.00,9.25,,8.00,
16000122,8.00,8.50,,,8.08,7.75,8.20,8.00,,8.60,
16000123,,,10.00,8.58,,,7.40,7.50,9.00,9.00,6.75
16000124,,,9.00,8.25,,,6.40,7.00,9.75,9.60,6.00
16000125,9.50,9.00,,,9.42,9.75,5.60,8.50,,8.00,
16000126,8.00,9.00,,,8.42,8.25,7.20,8.50,,8.60,
16000127,9.25,8.75,,,9.00,9.00,9.00,9.00,,9.20,
16000128,7.75,9.25,,,8.08,7.25,8.20,8.75,,8.20,
