62000001,7.50,8.25,,,8.00,8.25,3.60,7.25,,7.80,
62000002,7.50,9.50,,,7.58,5.75,3.80,7.25,,6.60,
62000003,8.25,9.75,,,8.25,6.75,3.80,7.00,,6.20,
62000004,5.00,6.25,,,5.08,4.00,2.80,4.25,,5.00,
62000005,9.75,8.50,,,9.00,8.75,3.80,6.25,,7.00,
62000006,4.75,,,,,4.00,,4.75,,4.20,
62000007,,,7.75,6.25,,,3.40,6.25,6.75,8.20,4.25
62000008,8.00,8.00,,,7.17,5.50,3.20,7.25,,6.00,
62000009,,,7.00,6.42,,,3.60,7.00,6.25,7.60,6.00
62000010,5.50,6.75,,,5.42,4.00,3.20,7.00,,4.80,
62000011,7.50,8.50,,,6.25,2.75,3.40,6.25,,5.40,
62000012,6.50,7.75,,,5.92,3.50,4.80,6.75,,7.60,
62000013,,,5.75,5.08,,,3.60,6.00,4.25,7.40,5.25
62000014,5.25,8.00,,,6.08,5.00,2.40,6.50,,4.60,
62000015,6.50,9.00,,,7.08,5.75,4.40,7.00,,7.20,
62000016,6.50,8.50,,,6.67,5.00,2.40,5.50,,6.00,
62000017,,,6.00,5.83,,,6.40,3.75,5.75,8.00,5.75
62000018,7.25,8.50,,,6.83,4.75,4.00,5.50,,5.60,
62000019,6.25,6.25,,,5.67,4.50,5.00,6.50,,8.40,
62000020,,,8.25,6.83,,,4.40,6.50,5.25,6.80,7.00
62000021,7.50,7.75,,,6.67,4.75,4.20,7.75,,7.60,
62000022,6.00,7.25,,,5.75,4.00,2.80,7.75,,5.40,
62000023,7.00,8.00,,,6.92,5.75,4.00,8.00,,7.60,
62000024,,,4.25,5.08,,,6.60,7.00,4.00,7.80,7.00
62000025,7.25,8.00,,,6.67,4.75,3.40,7.75,,5.40,
62000026,7.00,9.25,,,7.50,6.25,6.00,7.00,,7.40,
62000027,8.50,9.25,,,8.50,7.75,3.60,6.50,,7.60,
62000028,7.50,7.50,,,7.42,7.25,3.40,7.75,,6.20,
62000029,5.25,4.25,,,4.17,3.00,3.80,4.75,,3.60,
62000030,,,6.75,6.58,,,2.60,7.25,7.00,8.00,6.00
62000031,7.50,8.00,,,7.83,8.00,3.40,5.75,,3.40,
62000032,,,7.25,,,,,,,8.00,7.50
62000033,7.75,9.25,,,7.50,5.50,7.60,6.25,,4.80,
62000034,7.00,9.25,,,7.50,6.25,3.40,6.50,,6.20,
62000035,6.00,6.00,,,5.25,3.75,3.60,6.75,,4.00,
62000036,7.00,8.25,,,6.25,3.50,2.80,6.25,,5.00,
62000037,,,6.50,7.33,,,7.80,6.00,7.75,9.20,7.75
62000038,8.00,8.75,,,7.67,6.25,1.80,6.00,,5.00,
62000039,,,,,,7.75,,5.50,,6.20,
62000040,8.00,7.00,,,6.75,5.25,3.60,7.50,,4.20,
62000041,5.25,6.75,,,5.42,4.25,3.20,5.75,,4.80,
62000042,7.00,7.50,,,6.42,4.75,3.60,5.25,,5.80,
62000043,,,,,,7.25,,6.75,,6.40,
62000044,,,,,,5.75,,6.25,,1.40,
62000045,6.75,,,,,5.50,,6.75,,4.40,
62000046,8.00,7.25,,,6.83,5.25,4.00,6.00,,5.00,
62000047,,,,,,4.00,,5.50,,3.60,
62000048,8.25,8.00,,,7.67,6.75,4.20,5.25,,5.20,
62000049,5.75,8.00,,,6.67,6.25,3.00,7.75,,3.80,
62000050,8.00,,,,,7.75,,7.75,,6.20,
62000051,7.50,,,,,9.50,,7.75,,7.80,
62000052,6.50,8.00,,,6.08,3.75,3.00,6.00,,4.00,
62000053,7.75,8.75,,,7.08,4.75,3.20,7.50,,5.80,
62000054,,,,,,4.75,,5.50,,6.00,
62000055,,,,,,5.50,,6.00,,5.80,
62000056,,,,,,7.00,,6.00,,6.60,
62000057,,,,,,7.75,,5.50,,6.20,
62000058,5.75,9.00,,,6.17,3.75,3.20,7.00,,2.80,
62000059,2.50,,,,,2.75,,4.00,,3.20,
62000060,6.75,7.75,,,6.67,5.50,2.80,7.75,,5.00,
62000061,,,,,,8.25,,7.50,,6.00,
62000062,6.25,,,,,4.75,,4.50,,5.20,
62000063,,,,,,5.25,,5.00,,5.00,
62000064,7.25,7.75,,,7.25,6.75,2.60,5.50,,3.20,
62000065,8.00,8.25,,,8.17,8.25,2.20,6.25,,5.00,
62000066,,,,,,8.00,,6.75,,6.40,
62000067,,,,,,4.50,,4.75,,3.80,
62000068,7.50,8.50,,,7.25,5.75,3.40,7.75,,5.80,
62000069,,,,,,8.25,,5.75,,4.60,
62000070,,,,,,2.75,,4.25,,2.80,
62000071,,,,,,3.50,,5.25,,5.20,
62000072,,,,,,6.75,,5.00,,3.20,
62000073,,,,,,7.50,,5.75,,6.00,
62000074,8.75,8.75,,,8.33,7.50,3.40,7.25,,5.80,
62000075,,,8.25,7.83,,,4.60,8.00,7.50,8.00,7.75
62000076,7.00,8.75,,,7.58,7.00,4.60,7.25,,5.60,
62000077,,,,,,7.25,,6.75,,4.00,
62000078,4.25,7.00,,,5.25,4.50,3.60,6.50,,3.00,
62000079,8.25,8.25,,,7.25,5.25,3.60,7.00,,6.20,
62000080,,,,,,8.50,,7.75,,7.20,
62000081,,,,,,8.75,,6.25,,6.40,
62000082,,,,,,9.00,,8.25,,8.80,
62000083,7.50,,,,,7.50,,6.75,,,
62000084,,,,,,4.25,,4.25,,3.40,
62000085,7.25,5.50,,,5.25,3.00,2.60,7.00,,5.60,
62000086,,,,,,9.00,,7.00,,7.60,
62000087,7.00,7.75,,,6.17,3.75,3.60,6.50,,6.40,
62000088,,,,,,6.75,,4.50,,6.60,
62000089,4.25,7.00,,,5.33,4.75,2.20,6.25,,3.60,
62000091,6.25,,,,,4.75,,6.75,,3.20,
62000092,5.50,7.00,,,6.25,6.25,1.40,5.50,,2.00,
62000093,,,5.00,5.67,,,2.60,7.25,6.25,7.80,5.75
62000094,7.25,7.75,,,6.83,5.50,2.80,7.25,,7.00,
62000095,5.00,6.50,,,5.08,3.75,1.60,6.75,,3.20,
62000096,5.75,8.50,,,6.92,6.50,4.40,7.25,,7.40,
62000097,,,,,,9.00,,6.50,,8.00,
62000098,,,,,,4.00,,6.50,,6.80,
62000099,6.25,8.00,,,6.25,4.50,4.00,5.75,,2.60,
62000100,9.00,9.00,,,8.75,8.25,6.40,6.75,,7.40,
62000101,7.50,8.25,,,7.83,7.75,2.80,5.00,,5.20,
62000102,7.75,9.25,,,7.83,6.50,1.40,5.25,,5.80,
62000103,,,6.50,5.08,,,3.60,5.00,4.00,6.80,4.75
62000104,7.00,,,,,3.00,,4.50,,7.00,
62000105,5.50,8.00,,,6.17,5.00,2.40,5.50,,6.00,
62000106,,,,,,4.75,,4.00,,3.60,
62000107,7.25,7.50,,,6.83,5.75,4.20,6.50,,6.40,
62000108,7.50,9.00,,,7.50,6.00,2.60,7.00,,7.20,
62000109,,,7.75,6.33,,,2.40,6.50,7.00,6.60,4.25
62000110,,,7.25,6.75,,,3.80,6.75,7.25,7.40,5.75
62000111,5.50,7.75,,,6.25,5.50,1.40,5.25,,5.00,
62000112,6.75,8.00,,,7.17,6.75,2.60,6.50,,5.60,
62000113,7.25,8.50,,,7.42,6.50,2.40,5.25,,6.80,
62000115,6.00,7.00,,,6.00,5.00,3.00,5.00,,5.00,
62000116,7.75,8.75,,,7.33,5.50,6.80,5.25,,7.40,
62000117,8.00,8.75,,,8.58,9.00,3.80,6.25,,7.00,
62000118,5.25,6.50,,,4.92,3.00,2.40,3.75,,1.80,
