50000001,,,5.75,6.25,,,4.40,8.50,6.75,8.60,6.25
50000002,6.75,8.75,,,6.92,5.25,4.40,8.00,,7.20,
50000003,6.25,7.75,,,6.33,5.00,5.00,7.75,,6.20,
50000004,,,4.50,4.67,,,4.20,8.00,4.50,5.80,5.00
50000005,,,7.25,7.33,,,6.00,9.00,6.25,8.40,8.50
50000006,6.25,7.00,,,6.08,5.00,4.20,6.00,,3.60,
50000007,8.75,9.75,,,8.58,7.25,5.00,6.25,,6.80,
50000008,8.25,8.75,,,8.08,7.25,6.00,7.75,,7.60,
50000009,,,5.25,5.50,,,3.00,7.75,5.50,7.20,5.75
50000010,,,5.75,6.75,,,3.60,7.50,6.75,7.20,7.75
50000011,8.25,9.25,,,8.08,6.75,4.20,7.50,,7.60,
50000012,7.00,8.75,,,7.17,5.75,5.20,8.00,,6.80,
50000013,,,7.25,7.25,,,4.00,8.25,7.00,7.80,7.50
50000014,,,8.00,7.58,,,4.60,8.00,7.25,7.80,7.50
50000015,8.25,9.50,,,8.00,6.25,3.60,8.00,,8.20,
50000016,6.25,7.75,,,6.33,5.00,4.00,7.00,,6.80,
50000017,,,7.50,7.92,,,8.20,8.25,7.75,9.00,8.50
50000018,,,7.75,7.33,,,5.40,7.25,6.00,8.20,8.25
50000019,,,5.75,6.17,,,4.00,7.75,5.00,8.00,7.75
50000020,,,7.00,6.83,,,7.20,8.50,6.50,8.00,7.00
50000021,,,7.75,7.50,,,5.60,8.25,6.25,8.60,8.50
50000022,6.75,8.50,,,7.50,7.25,5.60,7.00,,7.20,
50000023,,,5.75,5.58,,,3.40,7.00,5.50,6.80,5.50
50000024,6.50,8.25,,,6.58,5.00,3.80,6.00,,6.80,
50000025,7.50,8.75,,,7.17,5.25,3.80,7.50,,5.80,
50000026,,,8.75,7.33,,,4.20,7.42,5.00,8.40,8.25
50000027,,,6.50,5.83,,,2.00,6.00,4.00,7.80,7.00
50000028,7.50,9.00,,,7.50,6.00,3.00,5.50,,5.60,
50000029,7.50,9.00,,,7.00,4.50,4.00,8.00,,6.40,
50000030,6.25,8.75,,,7.17,6.50,3.00,7.00,,7.40,
50000031,,,5.25,5.33,,,8.80,8.75,5.50,8.20,5.25
50000032,7.00,8.00,,,6.33,4.00,4.00,6.00,,7.40,
50000033,6.00,8.25,,,6.42,5.00,3.60,8.00,,6.40,
50000034,8.00,8.75,,,7.50,5.75,2.80,7.50,,7.00,
50000035,7.25,9.00,,,6.92,4.50,2.40,6.50,,6.40,
50000036,,,6.50,6.58,,,5.80,7.00,6.50,7.80,6.75
50000037,6.00,8.25,,,5.92,3.50,5.00,7.25,,5.80,
50000038,,,4.25,5.58,,,3.80,7.75,5.75,6.40,6.75
50000039,6.25,8.75,,,6.08,3.25,2.40,7.25,,7.00,
50000040,,,8.25,7.67,,,5.20,8.00,7.00,7.80,7.75
50000041,,,7.50,6.50,,,5.60,6.75,5.25,7.60,6.75
50000042,8.25,9.00,,,7.42,5.00,4.40,7.00,,6.20,
50000043,,,8.50,7.58,,,4.80,8.00,5.25,8.20,9.00
50000044,7.75,8.00,,,7.00,5.25,5.60,6.50,,8.20,
50000045,6.50,8.50,,,6.75,5.25,3.80,7.25,,5.00,
50000046,4.50,7.25,,,5.33,4.25,3.40,6.83,,5.00,
50000047,,,5.25,6.42,,,5.00,7.25,6.25,6.20,7.75
50000048,,,4.50,5.67,,,5.20,7.25,5.75,7.80,6.75
50000049,7.50,8.75,,,7.50,6.25,3.80,7.75,,7.40,
50000050,9.00,9.25,,,8.17,6.25,7.00,7.00,,8.60,
50000051,6.75,9.25,,,7.08,5.25,5.20,5.75,,6.80,
50000052,7.50,8.50,,,7.42,6.25,2.80,6.00,,6.40,
50000053,7.00,9.00,,,7.75,7.25,3.80,7.00,,7.20,
50000054,,,6.00,6.83,,,4.00,8.00,6.75,7.40,7.75
50000055,6.75,9.00,,,6.58,4.00,3.80,5.25,,7.20,
50000056,,,7.25,6.33,,,5.20,6.25,4.75,7.80,7.00
50000057,,,8.25,7.58,,,5.00,6.50,6.50,8.00,8.00
50000058,,,7.00,6.83,,,5.20,8.25,5.75,7.80,7.75
50000059,5.75,9.00,,,6.17,3.75,5.00,8.25,,7.20,
50000060,7.25,9.50,,,7.67,6.25,3.60,7.00,,7.00,
50000061,,,6.50,6.42,,,3.40,7.50,5.25,8.20,7.50
50000062,,,4.50,6.08,,,4.40,7.50,5.50,5.80,8.25
50000063,,,5.00,5.17,,,4.40,8.00,5.50,7.60,5.00
50000064,,,7.25,7.17,,,4.40,7.00,6.75,8.40,7.50
50000065,,,7.50,6.67,,,5.20,8.00,5.50,8.00,7.00
50000066,,,8.75,7.92,,,7.80,9.00,8.00,9.40,7.00
50000067,,,7.50,6.67,,,4.20,7.75,5.25,8.20,7.25
50000068,6.00,8.50,,,6.00,3.50,3.20,8.00,,6.60,
50000069,6.75,7.50,,,6.42,5.00,3.40,6.50,,5.20,
50000070,6.00,7.50,,,5.92,4.25,3.20,8.00,,5.60,
50000071,,,7.25,7.58,,,3.60,7.50,7.75,7.20,7.75
50000072,,,4.75,5.08,,,4.60,6.50,3.75,5.20,6.75
50000073,,,8.00,7.33,,,5.00,8.00,5.75,8.00,8.25
50000074,,,7.50,7.08,,,5.80,6.00,6.50,8.20,7.25
50000075,,,5.75,6.33,,,3.60,8.50,6.25,8.20,7.00
50000076,,,6.00,7.00,,,4.80,7.25,7.25,8.80,7.75
50000077,,,5.50,4.92,,,4.00,6.50,4.25,5.60,5.00
50000078,7.25,7.75,,,6.42,4.25,3.40,7.75,,7.40,
50000079,,,9.50,8.50,,,6.80,8.00,8.25,9.40,7.75
50000080,7.00,8.75,,,7.00,5.25,4.60,7.50,,7.60,
50000081,,,6.50,5.50,,,3.60,7.50,4.75,8.00,5.25
50000082,7.25,9.75,,,8.33,8.00,5.80,5.50,,7.80,
50000083,,,6.00,5.50,,,5.00,6.75,5.00,8.00,5.50
50000084,8.25,9.50,,,8.75,8.50,3.80,9.00,,7.20,
50000085,,,6.25,6.25,,,5.40,7.75,7.50,7.60,5.00
50000086,6.25,9.25,,,6.33,3.50,2.60,7.50,,7.00,
50000087,,,5.25,5.92,,,4.80,6.00,5.75,7.80,6.75
50000088,,,8.75,7.75,,,6.40,8.50,8.00,8.60,6.50
